Geneid,Entity,Symbol,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2
gene-PA1436,host,gene-PA1436,15.0,12.0,2.0,15.0,0.0,11.0
gene-PA0115,host,gene-PA0115,16.0,8.0,6.0,6.0,0.0,6.0
gene-PA0708,host,gene-PA0708,4.0,9.0,1.0,2.0,2.0,5.0
gene-PA1549,host,gene-PA1549,16.0,11.0,6.0,12.0,2.0,7.0
gene-PA1367,host,gene-PA1367,11.0,7.0,1.0,3.0,2.0,7.0
gene-PA1805,host,ppiD,,,6.0,11.0,4.0,11.0
gene-PA4372,host,gene-PA4372,11.0,10.0,3.0,15.0,3.0,8.0
gene-PA1874,host,gene-PA1874,40.0,18.0,14.0,25.0,4.0,16.0
gene-PHIKZ067,phage,gene-PHIKZ067,12.0,19.0,,,,
gene-PA4890,host,desT,11.0,16.0,10.0,11.0,3.0,4.0
gene-PA0380,host,gene-PA0380,8.0,15.0,6.0,3.0,3.0,3.0
gene-PA5256,host,dsbH,7.0,7.0,2.0,5.0,0.0,5.0
gene-PA1428,host,gene-PA1428,1.0,0.0,0.0,4.0,0.0,0.0
gene-PA3826,host,gene-PA3826,10.0,9.0,4.0,4.0,2.0,1.0
gene-PA4457,host,gene-PA4457,36.0,29.0,,22.0,8.0,
gene-PA4723,host,dksA,,,,,,18.0
gene-PA1651,host,gene-PA1651,8.0,4.0,2.0,1.0,1.0,5.0
gene-PA0451,host,gene-PA0451,6.0,11.0,1.0,10.0,3.0,9.0
gene-PA2559,host,gene-PA2559,9.0,4.0,2.0,7.0,0.0,3.0
gene-PA2677,host,gene-PA2677,12.0,8.0,4.0,4.0,3.0,8.0
gene-PA4304,host,rcpA,16.0,12.0,2.0,3.0,1.0,7.0
gene-PA0346,host,gene-PA0346,7.0,6.0,2.0,6.0,2.0,2.0
gene-PA1532,host,dnaX,,34.0,8.0,11.0,5.0,19.0
gene-PA2662,host,gene-PA2662,9.0,7.0,0.0,3.0,0.0,3.0
gene-PA1158,host,gene-PA1158,12.0,12.0,1.0,10.0,1.0,6.0
gene-PA0348,host,gene-PA0348,11.0,14.0,5.0,7.0,0.0,7.0
gene-PA1480,host,ccmF,32.0,17.0,4.0,8.0,5.0,18.0
gene-PA1946,host,rbsB,11.0,12.0,7.0,11.0,2.0,9.0
gene-PA5355,host,glcD,10.0,9.0,3.0,9.0,0.0,9.0
gene-PA3550,host,algF,8.0,4.0,0.0,6.0,0.0,5.0
gene-PA4949,host,gene-PA4949,29.0,14.0,14.0,15.0,7.0,9.0
gene-PA5030,host,gene-PA5030,23.0,12.0,14.0,12.0,,8.0
gene-PA0108,host,coIII,21.0,20.0,6.0,10.0,1.0,8.0
gene-PA4693,host,pssA,,24.0,,10.0,8.0,11.0
gene-PA3614,host,gene-PA3614,13.0,16.0,5.0,11.0,1.0,13.0
gene-PA0994,host,cupC3,11.0,15.0,2.0,9.0,3.0,17.0
gene-PA3736,host,hom,23.0,30.0,11.0,8.0,4.0,11.0
gene-PA5340,host,gene-PA5340,16.0,14.0,4.0,3.0,1.0,5.0
gene-PA5112,host,estA,19.0,16.0,11.0,12.0,2.0,15.0
gene-PA2747,host,gene-PA2747,2.0,3.0,6.0,3.0,0.0,1.0
