Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp165,0,0,1,524.0,5.0,1.0,7.0,2.0,3.0,90.0,21.0,180.0,509.0,526.0,439.0,8302.0,3632.0,27815.0,58151.0,34498.0,65764.0,phage,gene-CPT_phageK_gp165
gene-CPT_phageK_gp059,0,0,0,0.0,1.0,0.0,99.0,6.0,65.0,1764.0,323.0,1431.0,3055.0,1993.0,1741.0,410.0,612.0,510.0,202.0,199.0,220.0,phage,gene-CPT_phageK_gp059
gene-CPT_phageK_gp121,0,1,0,58.0,0.0,1.0,180.0,26.0,95.0,3504.0,562.0,4924.0,14559.0,8951.0,12771.0,7962.0,9067.0,8318.0,3668.0,4931.0,2882.0,phage,gene-CPT_phageK_gp121
gene-CPT_phageK_gp058,0,0,0,0.0,0.0,0.0,49.0,3.0,17.0,1098.0,114.0,716.0,2031.0,1025.0,881.0,226.0,362.0,249.0,95.0,128.0,89.0,phage,gene-CPT_phageK_gp058
gene-CPT_phageK_gp158,0,0,0,412.0,2.0,3.0,80.0,15.0,22.0,825.0,297.0,1086.0,2487.0,2438.0,2783.0,14660.0,11267.0,35001.0,38317.0,35575.0,26021.0,phage,gene-CPT_phageK_gp158
gene-CPT_phageK_gp231,0,0,0,15.0,1.0,0.0,58.0,9.0,14.0,1354.0,137.0,1536.0,4202.0,2287.0,2547.0,1474.0,1987.0,1535.0,782.0,985.0,436.0,phage,gene-CPT_phageK_gp231
gene-CPT_phageK_gp163,0,1,0,9.0,0.0,2.0,251.0,13.0,107.0,3158.0,402.0,2149.0,4530.0,2202.0,1950.0,937.0,959.0,1393.0,683.0,461.0,718.0,phage,gene-CPT_phageK_gp163
gene-CPT_phageK_gp116,0,0,0,177.0,1.0,4.0,5.0,5.0,3.0,70.0,39.0,219.0,576.0,651.0,816.0,2449.0,1540.0,7857.0,16511.0,11719.0,26703.0,phage,gene-CPT_phageK_gp116
gene-CPT_phageK_gp043,0,0,0,9.0,0.0,8.0,403.0,44.0,423.0,1907.0,452.0,1056.0,1555.0,1011.0,753.0,525.0,431.0,601.0,384.0,249.0,377.0,phage,gene-CPT_phageK_gp043
gene-CPT_phageK_gp055,0,0,0,0.0,1.0,0.0,57.0,8.0,14.0,1330.0,205.0,1386.0,3522.0,1991.0,2021.0,660.0,895.0,578.0,266.0,266.0,204.0,phage,gene-CPT_phageK_gp055
gene-CPT_phageK_gp076,0,0,0,6.0,0.0,2.0,125.0,20.0,43.0,1848.0,345.0,2093.0,3941.0,3158.0,2458.0,811.0,1201.0,983.0,415.0,405.0,467.0,phage,gene-CPT_phageK_gp076
gene-CPT_phageK_gt004,0,0,0,51.0,0.0,1.0,4.0,5.0,7.0,53.0,19.0,176.0,460.0,420.0,576.0,3893.0,2172.0,2286.0,3725.0,1860.0,1263.0,phage,tRNA-Asp
