Geneid,Entity,Symbol,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3
gene-SAURSH1000_RS09570,host,gene-SAURSH1000_RS09570,2.302585092994046,1.3862943611198906,2.5649493574615367,2.70805020110221,1.791759469228055,2.5649493574615367,2.1972245773362196,1.3862943611198906,2.302585092994046,1.9459101490553132,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0
gene-SAURSH1000_RS12835,host,arcC,4.983606621708336,5.3471075307174685,4.852030263919617,5.003946305945459,5.351858133476067,4.820281565605037,5.10594547390058,5.081404364984463,4.912654885736052,4.948759890378168,5.181783550292085,3.9512437185814275,4.477336814478207,5.877735781779639,3.828641396489095,3.6635616461296463,4.0943445622221,3.2188758248682006,3.970291913552122,4.02535169073515,3.1354942159291497
gene-SAURSH1000_RS13180,host,vraE,3.1354942159291497,3.258096538021482,3.7376696182833684,3.58351893845611,3.6635616461296463,3.4011973816621555,3.713572066704308,3.6888794541139363,3.4011973816621555,3.713572066704308,3.6375861597263857,2.9444389791664403,3.295836866004329,2.8903717578961645,1.791759469228055,2.1972245773362196,1.791759469228055,1.0986122886681098,2.0794415416798357,2.1972245773362196,0.0
gene-SAURSH1000_RS03000,host,mnhG2,4.955827057601261,5.6937321388027,5.1298987149230735,5.342334251964811,5.5053315359323625,4.90527477843843,5.1647859739235145,5.017279836814924,5.37989735354046,5.293304824724492,4.6443908991413725,4.418840607796598,5.840641657373398,4.770684624465665,3.8066624897703196,5.123963979403259,4.3694478524670215,3.713572066704308,4.852030263919617,4.0943445622221,2.8903717578961645
gene-SAURSH1000_RS11930,host,cntA,5.0106352940962555,4.919980925828125,5.135798437050262,5.393627546352362,4.23410650459726,4.882801922586371,5.220355825078324,4.276666119016055,4.634728988229636,5.342334251964811,4.30406509320417,4.02535169073515,5.111987788356544,5.225746673713202,3.5553480614894135,3.8066624897703196,4.127134385045092,2.995732273553991,3.7612001156935624,4.343805421853684,2.6390573296152584
gene-SAURSH1000_RS12485,host,gene-SAURSH1000_RS12485,3.4339872044851463,5.19295685089021,3.332204510175204,3.7612001156935624,3.5553480614894135,3.332204510175204,3.871201010907891,3.4339872044851463,3.367295829986474,3.912023005428146,3.8501476017100584,3.044522437723423,3.2188758248682006,3.091042453358316,2.302585092994046,1.6094379124341003,2.302585092994046,1.6094379124341003,2.3978952727983707,2.1972245773362196,1.791759469228055
gene-SAURSH1000_RS06935,host,gene-SAURSH1000_RS06935,5.849324779946859,5.19295685089021,5.69035945432406,6.194405391104672,5.700443573390687,5.605802066295998,6.302618975744905,5.605802066295998,5.736572297479192,6.244166900663736,5.966146739123692,5.438079308923196,5.3612921657094255,5.958424693029782,4.7535901911063645,4.23410650459726,4.3694478524670215,3.828641396489095,4.07753744390572,4.574710978503383,2.5649493574615367
gene-SAURSH1000_RS07135,host,gene-SAURSH1000_RS07135,7.02108396428914,7.457609289715606,6.897704943128636,7.199678345691172,7.016609683894219,6.968850378341948,7.381501894506707,7.257707677160043,6.776506992372183,7.272398392570047,7.557472901614746,6.345636360828596,6.9726062513017535,7.748028524432376,5.87493073085203,6.184148890937483,6.492239835020471,5.337538079701318,5.572154032177765,6.386879319362645,4.59511985013459
gene-SAURSH1000_RS05330,host,gene-SAURSH1000_RS05330,6.386879319362645,5.159055299214529,5.5909869805108565,5.846438775057725,5.19295685089021,4.248495242049359,5.981414211254481,4.882801922586371,5.2574953720277815,5.908082938168931,5.327876168789581,5.135798437050262,5.153291594497779,5.429345628954441,4.0943445622221,5.204006687076795,3.58351893845611,4.127134385045092,4.343805421853684,4.406719247264253,4.04305126783455
gene-SAURSH1000_RS07145,host,gene-SAURSH1000_RS07145,6.586171654854675,7.122059881629142,6.577861357721047,6.71901315438526,6.587550014824796,6.637258031284457,6.82001636467413,6.835184586147301,6.222576268071369,6.860663671448287,7.1693500166706,5.991464547107982,6.844815479208263,7.355641102974253,5.6131281063880705,5.602118820879701,6.056784013228625,4.941642422609304,4.804021044733257,6.137727054086234,4.290459441148391
