Geneid,Entity,Symbol,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Temporal_Class
gene-CPT_phageK_gp165,phage,gene-CPT_phageK_gp165,0.0,0.0,,6.263398262591624,1.791759469228055,0.6931471805599453,2.0794415416798357,1.0986122886681098,1.3862943611198906,,3.091042453358316,5.198497031265826,6.234410725718371,6.267200548541362,6.0867747269123065,9.02437217426203,8.197814032221203,10.233366673687698,10.97081555116447,10.448685617092117,11.093843060902879,late
gene-CPT_phageK_gp059,phage,gene-CPT_phageK_gp059,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,4.605170185988092,1.9459101490553132,4.189654742026425,7.475905969367397,5.780743515792329,7.266827347520591,8.024862150286411,7.597897950521784,7.462789157412448,6.018593214496234,6.418364935936212,6.236369590203704,5.313205979041787,5.298317366548036,5.3981627015177525,middle
gene-CPT_phageK_gp121,phage,gene-CPT_phageK_gp121,0.0,0.6931471805599453,0.0,4.07753744390572,0.0,0.6931471805599453,5.198497031265826,3.295836866004329,4.564348191467836,8.16194579946869,6.333279628139691,8.502079553606189,9.586033321750676,9.09963224999176,9.455010553834672,8.982561092257445,9.11250701162742,9.026297334283887,8.207674424355282,8.503499864284235,7.9665866976384025,middle
gene-CPT_phageK_gp058,phage,gene-CPT_phageK_gp058,0.0,0.0,0.0,0.0,0.0,0.0,3.912023005428146,1.3862943611198906,2.8903717578961645,7.002155954403621,4.74493212836325,6.57507584059962,7.616775808698373,6.933423025730715,6.782192056006791,5.424950017481403,5.8944028342648505,5.521460917862246,4.564348191467836,4.859812404361672,4.499809670330265,middle
gene-CPT_phageK_gp158,phage,gene-CPT_phageK_gp158,0.0,0.0,0.0,6.023447592961033,1.0986122886681098,1.3862943611198906,4.394449154672439,2.772588722239781,3.1354942159291497,6.716594773520978,5.697093486505405,6.99117688712121,7.81923445385907,7.79934339821592,7.931644021454311,9.592946185938265,9.329722128996263,10.463160481696102,10.553675038655937,10.479426532190532,10.166697613063421,late
gene-CPT_phageK_gp231,phage,gene-CPT_phageK_gp231,0.0,0.0,0.0,2.772588722239781,0.6931471805599453,0.0,4.07753744390572,2.302585092994046,2.70805020110221,7.2115567333138015,4.927253685157205,7.337587743538596,8.343553835005117,7.7354333524996886,7.843064016692054,7.29641326877392,7.59488438721652,7.336936913707618,6.663132695990803,6.893656354602635,6.07993319509559,middle
gene-CPT_phageK_gp163,phage,gene-CPT_phageK_gp163,0.0,0.6931471805599453,0.0,2.302585092994046,0.0,1.0986122886681098,5.529429087511423,2.6390573296152584,4.68213122712422,8.058010800802085,5.998936561946683,7.673223121121708,8.418697944667139,7.697575346802343,7.576097340623111,6.843749949006225,6.866933284461882,7.2399325913204695,6.52795791762255,6.135564891081739,6.577861357721047,middle
gene-CPT_phageK_gp116,phage,gene-CPT_phageK_gp116,0.0,0.0,0.0,5.181783550292085,0.6931471805599453,1.6094379124341003,1.791759469228055,1.791759469228055,1.3862943611198906,,3.6888794541139363,5.393627546352362,6.3578422665081,6.480044561926653,6.705639094860003,7.803843303538772,7.340186835320115,8.969287400118406,9.711842668281289,9.369052063131004,10.192568645901616,late
gene-CPT_phageK_gp043,phage,gene-CPT_phageK_gp043,0.0,0.0,0.0,2.302585092994046,0.0,2.1972245773362196,6.0014148779611505,3.8066624897703196,6.049733455231958,7.553810852008231,6.115892125483034,6.963189985870238,7.349873704738337,6.919683849847411,6.625392368007956,6.26530121273771,6.068425588244111,6.400257445308821,5.953243334287785,5.521460917862246,5.934894195619588,middle
gene-CPT_phageK_gp055,phage,gene-CPT_phageK_gp055,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,4.060443010546419,2.1972245773362196,2.70805020110221,7.193685818395112,5.327876168789581,7.234898420314831,8.167068178341237,7.596894438144544,7.611842399580417,6.493753839851686,6.79794041297493,6.361302477572996,5.58724865840025,5.58724865840025,5.3230099791384085,middle
gene-CPT_phageK_gp076,phage,gene-CPT_phageK_gp076,0.0,0.0,0.0,1.9459101490553132,0.0,1.0986122886681098,4.836281906951478,3.044522437723423,3.784189633918261,7.522400231387125,5.846438775057725,7.646831391430482,8.279443487712665,8.058010800802085,7.807510042216193,6.699500340161678,7.091742115095153,6.891625897052253,6.030685260261263,6.0063531596017325,6.148468295917647,middle
gene-CPT_phageK_gt004,phage,tRNA-Asp,0.0,0.0,0.0,3.9512437185814275,0.0,0.6931471805599453,1.6094379124341003,1.791759469228055,2.0794415416798357,,2.995732273553991,5.176149732573829,6.133398042996649,6.042632833682381,6.3578422665081,8.267192185932146,7.6838639802564295,7.734996194022781,8.223090551161533,7.528869256642251,7.142036574706803,late
gene-CPT_phageK_gp057,phage,gene-CPT_phageK_gp057,0.0,0.0,0.0,0.0,0.0,0.0,3.784189633918261,1.3862943611198906,2.8903717578961645,6.88653164253051,4.9344739331306915,6.625392368007956,7.682482446534506,7.0925737159746784,6.950814768442584,5.564520407322694,6.07073772800249,5.53338948872752,4.820281565605037,4.762173934797756,4.718498871295094,middle
gene-CPT_phageK_gp056,phage,gene-CPT_phageK_gp056,0.0,0.0,0.0,0.0,0.0,0.0,3.6375861597263857,1.3862943611198906,1.9459101490553132,6.501289670540389,4.553876891600541,6.352629396319567,7.406103381237015,6.620073206530356,6.628041376179533,5.41610040220442,5.799092654460526,5.308267697401205,4.605170185988092,4.418840607796598,4.394449154672439,middle
gene-CPT_phageK_gp108,phage,gene-CPT_phageK_gp108,,0.0,0.0,2.5649493574615367,0.0,0.6931471805599453,3.9889840465642745,1.791759469228055,3.1780538303479458,6.646390514847729,5.075173815233827,7.117205503164344,7.915348169263078,7.699389406256737,7.872073979866873,7.369600720526409,7.559038255443384,7.662937850461535,7.220373836723949,7.2991214627108,7.059617628291383,middle
gene-CPT_phageK_gp080,phage,gene-CPT_phageK_gp080,,1.0986122886681098,0.0,4.110873864173311,1.0986122886681098,0.6931471805599453,4.553876891600541,3.091042453358316,3.58351893845611,8.109826276018477,5.991464547107982,8.315077007294104,9.673067592251142,8.894670262984233,9.234252192022495,9.141097469234023,9.000729834944558,8.948455992345542,8.553910774351401,8.304989580140361,7.824445930877619,middle
gene-CPT_phageK_gp183,phage,gene-CPT_phageK_gp183,0.0,0.6931471805599453,0.0,5.703782474656201,1.3862943611198906,0.6931471805599453,3.6109179126442243,1.3862943611198906,2.302585092994046,5.823045895483019,4.343805421853684,5.902633333401366,7.234177179749849,6.7650389767805414,7.357556200910353,9.55768189473384,9.440101975591968,10.437961341207826,10.298834982456007,10.394120673014172,9.958117773187244,late
gene-CPT_phageK_gp232,phage,gene-CPT_phageK_gp232,,0.0,0.0,2.772588722239781,0.0,0.0,3.6109179126442243,1.6094379124341003,2.5649493574615367,6.967909201801884,4.553876891600541,6.9985096422506015,8.172164452111904,7.385230923066573,7.560080465021827,7.206377291472252,7.337587743538596,7.126890808898808,6.715383386334681,6.771935555839602,5.860786223465865,middle
