Geneid,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-phage515_00114,1153,1335,1136,2599.0,2942.0,3765.0,5473.0,2715.0,2717.0,phage,tmpE
gene-phage515_00175,3788,4353,3858,6913.0,7252.0,10445.0,9459.0,6987.0,5016.0,phage,gene-phage515_00175
gene-phage515_00173,8535,10132,8346,31962.0,37538.0,48698.0,43756.0,41006.0,24403.0,phage,gene-phage515_00173
gene-phage515_00223,957,1152,910,3479.0,2747.0,4724.0,3174.0,2736.0,1672.0,phage,gene-phage515_00223
gene-phage515_00208,1998,2093,2115,1467.0,1107.0,1877.0,728.0,856.0,460.0,phage,gene-phage515_00208
gene-phage515_00180,1860,2096,1746,3449.0,3386.0,5026.0,5714.0,3847.0,2814.0,phage,gene-phage515_00180
gene-phage515_00124,762,880,571,12704.0,15014.0,19878.0,30520.0,12525.0,15434.0,phage,gene-phage515_00124
gene-phage515_00028,2515,2574,2246,8765.0,9847.0,12878.0,11598.0,8483.0,6714.0,phage,gene-phage515_00028
gene-phage515_00152,9521,11070,8906,56425.0,68033.0,86722.0,142913.0,78621.0,68069.0,phage,gene-phage515_00152
gene-phage515_00073,54,73,49,500.0,670.0,848.0,43684.0,13787.0,17650.0,phage,lysK.2
gene-phage515_00062,4421,4957,4326,13375.0,15245.0,20200.0,25471.0,20835.0,13583.0,phage,rbn
gene-phage515_00019,5691,6553,6604,1974.0,1833.0,3292.0,2527.0,2181.0,1387.0,phage,gene-phage515_00019
gene-phage515_00204,7855,9864,7722,30295.0,33286.0,44311.0,51826.0,33162.0,24358.0,phage,nadV
gene-phage515_00205,1736,1955,1825,1958.0,1681.0,2506.0,1112.0,1204.0,678.0,phage,gene-phage515_00205
gene-phage515_00230,2384,2615,2746,723.0,654.0,1240.0,1017.0,720.0,488.0,phage,gene-phage515_00230
gene-phage515_00044,2123,2292,1838,7643.0,8393.0,11115.0,12744.0,10162.0,6554.0,phage,mbpP
gene-phage515_00095,202,174,171,2845.0,4421.0,5370.0,101220.0,26031.0,41021.0,phage,pro
gene-phage515_00015,2547,2768,2992,709.0,638.0,1205.0,1033.0,728.0,489.0,phage,gene-phage515_00015
gene-phage515_00167,1756,1984,1689,7569.0,8128.0,11332.0,8880.0,5458.0,4883.0,phage,gene-phage515_00167
gene-phage515_00126,1981,2373,2072,10635.0,12436.0,17045.0,37726.0,19772.0,17434.0,phage,gene-phage515_00126
gene-phage515_00209,2989,3316,3158,2413.0,1874.0,3213.0,1343.0,1229.0,754.0,phage,gene-phage515_00209
gene-phage515_00087,1660,1851,1690,2576.0,3071.0,4445.0,18555.0,12197.0,10489.0,phage,gene-phage515_00087
