Geneid,Entity,Symbol,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3
gene-phage515_00114,phage,tmpE,1153.0,1335.0,1136.0,,,,,,
gene-Saur515_RS05730,host,gene-Saur515_RS05730,1985.0,2314.0,2694.0,805.0,926.0,1437.0,,919.0,
gene-Saur515_RS11170,host,gene-Saur515_RS11170,635.0,651.0,703.0,221.0,195.0,360.0,208.0,162.0,115.0
gene-Saur515_RS01200,host,yycH,1768.0,1892.0,1943.0,525.0,500.0,774.0,800.0,438.0,275.0
gene-Saur515_RS03260,host,sarR,1093.0,1022.0,1419.0,462.0,283.0,729.0,583.0,577.0,296.0
gene-Saur515_RS11135,host,gene-Saur515_RS11135,305.0,314.0,325.0,75.0,75.0,128.0,106.0,92.0,44.0
gene-phage515_00175,phage,gene-phage515_00175,,,,,,,,,
gene-Saur515_RS11695,host,gene-Saur515_RS11695,1117.0,1215.0,1277.0,459.0,399.0,616.0,497.0,440.0,243.0
gene-Saur515_RS07250,host,gene-Saur515_RS07250,,,,,,,,,
gene-Saur515_RS07415,host,gene-Saur515_RS07415,11.0,8.0,12.0,4.0,5.0,1.0,6.0,3.0,5.0
gene-Saur515_RS05270,host,polX,848.0,887.0,955.0,296.0,245.0,424.0,371.0,232.0,162.0
gene-Saur515_RS06090,host,aspS,2063.0,2257.0,2202.0,817.0,773.0,1097.0,895.0,478.0,329.0
gene-Saur515_RS11655,host,essA,64.0,67.0,85.0,22.0,19.0,25.0,46.0,16.0,9.0
gene-Saur515_RS04340,host,lgt,903.0,872.0,968.0,242.0,230.0,378.0,352.0,277.0,154.0
gene-Saur515_RS07475,host,guaB,2830.0,3136.0,3045.0,854.0,817.0,1122.0,1017.0,577.0,427.0
gene-Saur515_RS05465,host,rsmH,,,,,,,,,
gene-Saur515_RS08615,host,pstA,15.0,10.0,7.0,5.0,3.0,7.0,11.0,10.0,5.0
gene-Saur515_RS05065,host,gene-Saur515_RS05065,111.0,130.0,127.0,40.0,54.0,82.0,68.0,69.0,42.0
gene-Saur515_RS09150,host,gene-Saur515_RS09150,1607.0,1831.0,1922.0,512.0,389.0,825.0,793.0,694.0,321.0
gene-Saur515_RS08420,host,gene-Saur515_RS08420,94.0,90.0,97.0,26.0,26.0,43.0,37.0,36.0,17.0
gene-Saur515_RS02780,host,gene-Saur515_RS02780,,,,,,,,,
gene-Saur515_RS03580,host,rpmD,2252.0,2225.0,2279.0,692.0,525.0,738.0,1023.0,381.0,306.0
gene-Saur515_RS00785,host,sbnD,5.0,15.0,8.0,2.0,3.0,5.0,2.0,2.0,1.0
gene-Saur515_RS02350,host,cntM,15.0,22.0,23.0,2.0,3.0,6.0,4.0,2.0,5.0
gene-Saur515_RS01415,host,gene-Saur515_RS01415,57.0,53.0,65.0,13.0,13.0,18.0,22.0,33.0,22.0
gene-Saur515_RS04815,host,gene-Saur515_RS04815,799.0,886.0,975.0,246.0,246.0,396.0,315.0,297.0,194.0
gene-Saur515_RS14360,host,gene-Saur515_RS14360,600.0,533.0,561.0,280.0,261.0,346.0,872.0,370.0,291.0
gene-Saur515_RS06545,host,gene-Saur515_RS06545,16.0,26.0,31.0,2.0,4.0,9.0,3.0,6.0,3.0
gene-Saur515_RS03060,host,fosB,19.0,23.0,19.0,2.0,1.0,4.0,5.0,2.0,1.0
gene-Saur515_RS03460,host,gene-Saur515_RS03460,769.0,889.0,1024.0,186.0,162.0,307.0,332.0,272.0,168.0
gene-Saur515_RS11005,host,gene-Saur515_RS11005,1121.0,1272.0,1326.0,306.0,280.0,508.0,569.0,372.0,226.0
gene-Saur515_RS01425,host,gene-Saur515_RS01425,1628.0,1860.0,1820.0,599.0,724.0,1068.0,1434.0,887.0,519.0
gene-Saur515_RS08320,host,typA,2765.0,3059.0,3055.0,726.0,644.0,800.0,860.0,515.0,315.0
gene-Saur515_RS04520,host,queF,405.0,484.0,466.0,97.0,81.0,138.0,129.0,84.0,55.0
gene-phage515_00173,phage,gene-phage515_00173,,,,,,,,,
gene-Saur515_RS08115,host,purQ,226.0,283.0,248.0,233.0,202.0,268.0,176.0,128.0,117.0
gene-phage515_00223,phage,gene-phage515_00223,957.0,1152.0,910.0,,,,,,
gene-Saur515_RS08840,host,tkt,,,,,,,,,
gene-Saur515_RS07930,host,gene-Saur515_RS07930,28.0,27.0,43.0,14.0,8.0,22.0,10.0,6.0,3.0
