Geneid,Entity,Symbol,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3,Temporal_Class
gene-phage515_00114,phage,tmpE,7.050989447068045,7.197435354096591,7.036148493750536,7.8632667240095735,7.987184748233473,8.233768709217097,8.607764889600624,7.906915488678587,7.907651594711089,middle
gene-Saur515_RS05730,host,gene-Saur515_RS05730,7.593877844605118,7.747164966520335,7.899153483343097,6.692083742506628,6.831953565565855,7.271008538280992,7.493873886783559,6.824373670043086,6.659293919683638,early
gene-Saur515_RS11170,host,gene-Saur515_RS11170,6.455198563340122,6.480044561926653,6.556778356158042,5.402677381872279,5.278114659230517,5.8888779583328805,5.342334251964811,5.093750200806762,4.7535901911063645,early
gene-Saur515_RS01200,host,yycH,7.478169694159785,7.545918151209323,7.572502985020384,6.26530121273771,6.2166061010848646,6.652863029353347,6.68586094706836,6.0844994130751715,5.62040086571715,early
gene-Saur515_RS03260,host,sarR,6.9975959829819265,6.930494765951626,7.258412150595307,6.137727054086234,5.648974238161206,6.593044534142437,6.369900982828227,6.359573868672378,5.6937321388027,early
gene-Saur515_RS11135,host,gene-Saur515_RS11135,5.723585101952381,5.752572638825633,5.786897381366708,4.330733340286331,4.330733340286331,4.859812404361672,4.672828834461906,4.532599493153256,3.8066624897703196,early
gene-phage515_00175,phage,gene-phage515_00175,8.239857411018601,8.378850241794492,8.258163361537619,8.84130362048157,8.889170455363413,9.253974408996244,9.154827662045925,8.851949671253948,8.520587424484253,middle
gene-Saur515_RS11695,host,gene-Saur515_RS11695,7.0192966537150445,7.103322062526113,7.15305163493748,6.131226489483141,5.991464547107982,6.424869023905388,6.210600077024653,6.089044875446846,5.497168225293202,early
gene-Saur515_RS07250,host,gene-Saur515_RS07250,8.19450550976564,8.352790135124629,8.304494897963567,7.6236419465115715,7.683403681053826,8.043984431221553,7.6787889981991535,7.170888478512505,6.8658910748834385,early
gene-Saur515_RS07415,host,gene-Saur515_RS07415,2.4849066497880004,2.1972245773362196,2.5649493574615367,1.6094379124341003,1.791759469228055,0.6931471805599453,1.9459101490553132,1.3862943611198906,1.791759469228055,early
gene-Saur515_RS05270,host,polX,6.744059186311348,6.78897174299217,6.862757913051401,5.6937321388027,5.5053315359323625,6.052089168924417,5.918893854273146,5.4510384535657,5.093750200806762,early
