Geneid,Entity,Symbol,5_R1,5_R2,5_R3,15_R1,15_R2,15_R3,30_R1,30_R2,30_R3
gene-phage515_00114,phage,tmpE,7.050989447068045,7.197435354096591,7.036148493750536,7.8632667240095735,7.987184748233473,8.233768709217097,8.607764889600624,7.906915488678587,7.907651594711089
gene-phage515_00175,phage,gene-phage515_00175,8.239857411018601,8.378850241794492,8.258163361537619,8.84130362048157,8.889170455363413,9.253974408996244,9.154827662045925,8.851949671253948,8.520587424484253
gene-phage515_00173,phage,gene-phage515_00173,9.05204779298159,9.223552703448318,9.029657471850737,10.372334262809115,10.533135671533165,10.793413774978955,10.686406878987126,10.621498062820763,10.102502332271744
gene-phage515_00223,phage,gene-phage515_00223,6.86484777797086,7.050122520269059,6.814542897259958,8.15478757276852,7.91862865334224,8.460622839927844,8.063062911326792,7.914617709040679,7.422373700986824
gene-phage515_00208,phage,gene-phage515_00208,7.6004023345004,7.646831391430482,7.65728279297819,7.291656209174461,7.010311867307229,7.537962659768208,6.591673732008658,6.75343791859778,6.133398042996649
gene-phage515_00180,phage,gene-phage515_00180,7.528869256642251,7.64826303090192,7.465655310134056,8.146129510025405,8.127699852817772,8.522578663692576,8.65084957622891,8.255308811785596,7.942717540573791
gene-phage515_00124,phage,gene-phage515_00124,6.637258031284457,6.78105762593618,6.349138991379798,9.449750895754265,9.616804980417431,9.897419177134521,10.326170250261358,9.435561763085358,9.64439293693626
gene-phage515_00028,phage,gene-phage515_00028,7.830425617820331,7.853604813097837,7.717351272185329,9.078635880978755,9.19502366786429,9.46335335689267,9.358674166481876,9.045937315684574,8.812099108957337
gene-phage515_00152,phage,gene-phage515_00152,9.161360189754465,9.312084355859467,9.09459276343187,10.940685324169365,11.127762859199894,11.370474410171052,11.86999832972797,11.272406837471928,11.128291866441996
gene-phage515_00073,phage,lysK.2,4.007333185232471,4.30406509320417,3.912023005428146,6.2166061010848646,6.508769136971682,6.744059186311348,10.684760072732194,9.531553927636756,9.77854771798028
gene-phage515_00062,phage,rbn,8.394347361417392,8.508757712595136,8.372629740224884,9.501217335324483,9.632072452548218,9.913487387114461,10.14533508864411,9.944437538865083,9.516647908551128
gene-phage515_00019,phage,gene-phage515_00019,8.646816959209742,8.787830829258759,8.795582216956426,7.5883236773352225,7.51425465281641,8.099554282376364,7.8351837552667485,7.687997166393016,7.23561914106675
gene-phage515_00204,phage,nadV,8.969032850034301,9.196748418456716,8.951958168569265,10.31877096958163,10.412922209355978,10.69901079971294,10.855666527972762,10.409190075603348,10.100656670078102
