Geneid,bim-phage-35_R1,bim-phage-35_R2,bim-phage-35_R3,bim-phage-35_R4,bim-phage-35_R5,bim-phage-60_R1,bim-phage-60_R2,bim-phage-60_R3,bim-phage-60_R4,bim-phage-60_R5,bim-phage-120_R1,bim-phage-120_R2,bim-phage-120_R3,bim-phage-120_R4,bim-phage-120_R5,Entity,Symbol
gene-DMS3-27,1,0,1,1.0,6.0,4.0,1.0,4.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,phage,gene-DMS3-27
gene-DMS3-47,0,0,0,,,,,,,,,,,,,phage,gene-DMS3-47
gene-DMS3-36,3,6,8,11.0,8.0,7.0,6.0,7.0,12.0,2.0,5.0,12.0,9.0,2.0,1.0,phage,gene-DMS3-36
gene-DMS3-46,0,0,1,,,,,,,,,,,,,phage,gene-DMS3-46
gene-DMS3-38,2,3,4,3.0,5.0,5.0,1.0,1.0,3.0,0.0,2.0,5.0,0.0,6.0,2.0,phage,gene-DMS3-38
gene-DMS3-29,0,0,3,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,phage,gene-DMS3-29
gene-DMS3-13,1,0,0,0.0,2.0,4.0,0.0,4.0,5.0,2.0,0.0,6.0,4.0,8.0,3.0,phage,gene-DMS3-13
gene-DMS3-35,1,2,0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,0.0,phage,gene-DMS3-35
gene-DMS3-48,2,0,1,2.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0,5.0,phage,gene-DMS3-48
gene-DMS3-18,0,0,0,1.0,4.0,3.0,3.0,6.0,3.0,7.0,6.0,4.0,5.0,8.0,6.0,phage,gene-DMS3-18
gene-DMS3-43,1,1,3,5.0,6.0,3.0,5.0,6.0,5.0,7.0,5.0,11.0,3.0,5.0,5.0,phage,gene-DMS3-43
gene-DMS3-21,0,1,2,4.0,5.0,3.0,5.0,1.0,1.0,2.0,4.0,5.0,0.0,2.0,5.0,phage,V
gene-DMS3-11,3,1,2,0.0,2.0,4.0,6.0,5.0,10.0,7.0,10.0,16.0,3.0,7.0,8.0,phage,gene-DMS3-11
gene-DMS3-5,6,13,8,5.0,17.0,22.0,10.0,14.0,27.0,12.0,19.0,30.0,13.0,20.0,11.0,phage,gene-DMS3-5
gene-DMS3-26,0,1,1,2.0,6.0,1.0,2.0,4.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,phage,gene-DMS3-26
gene-DMS3-19,0,0,3,0.0,1.0,2.0,0.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,phage,gene-DMS3-19
gene-DMS3-7,2,5,4,0.0,7.0,17.0,7.0,12.0,14.0,7.0,8.0,19.0,12.0,15.0,7.0,phage,gene-DMS3-7
gene-DMS3-30,2997,3022,3816,2827.0,3963.0,2864.0,2611.0,2799.0,2290.0,2560.0,2290.0,2617.0,1338.0,1441.0,1616.0,phage,gene-DMS3-30
gene-DMS3-33,18,24,29,34.0,58.0,60.0,40.0,28.0,30.0,27.0,38.0,48.0,33.0,20.0,26.0,phage,gene-DMS3-33
gene-DMS3-20,2,0,0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,phage,gene-DMS3-20
gene-DMS3-17,0,0,0,1.0,1.0,7.0,0.0,6.0,2.0,4.0,3.0,3.0,2.0,5.0,2.0,phage,gene-DMS3-17
gene-DMS3-25,3,4,4,3.0,4.0,5.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,6.0,3.0,phage,gene-DMS3-25
gene-DMS3-1,1,1,5,2.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,phage,gene-DMS3-1
gene-DMS3-40,0,4,3,1.0,6.0,5.0,3.0,3.0,3.0,2.0,4.0,5.0,0.0,2.0,1.0,phage,gene-DMS3-40
gene-DMS3-12,0,0,2,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,phage,gene-DMS3-12
gene-DMS3-22,3,3,1,3.0,3.0,0.0,2.0,1.0,2.0,5.0,3.0,0.0,4.0,2.0,3.0,phage,gene-DMS3-22
gene-DMS3-16,0,0,0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,4.0,1.0,phage,gene-DMS3-16
gene-DMS3-24,1,0,1,3.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,3.0,3.0,phage,gene-DMS3-24
gene-DMS3-10,0,0,0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,2.0,8.0,0.0,3.0,3.0,phage,gene-DMS3-10
gene-DMS3-6,3,6,1,2.0,5.0,15.0,11.0,8.0,14.0,2.0,9.0,14.0,5.0,7.0,7.0,phage,gene-DMS3-6
gene-DMS3-8,0,0,0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,2.0,4.0,0.0,2.0,1.0,phage,gene-DMS3-8
gene-DMS3-39,6,7,12,6.0,13.0,7.0,7.0,5.0,7.0,7.0,11.0,10.0,6.0,10.0,9.0,phage,gene-DMS3-39
gene-DMS3-31,878,1525,1936,1108.0,2490.0,1739.0,1392.0,1408.0,1398.0,1265.0,1087.0,1414.0,790.0,877.0,876.0,phage,gene-DMS3-31
gene-DMS3-51,0,0,1,,,,,,,,,,,,,phage,gene-DMS3-51
gene-DMS3-37,2,7,10,8.0,15.0,8.0,6.0,3.0,8.0,2.0,10.0,11.0,5.0,7.0,4.0,phage,gene-DMS3-37
gene-DMS3-2,6,9,16,8.0,16.0,21.0,17.0,15.0,13.0,12.0,13.0,14.0,8.0,16.0,16.0,phage,gene-DMS3-2
gene-DMS3-52,2,0,0,1.0,0.0,5.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,4.0,1.0,phage,gene-DMS3-52
gene-DMS3-41,9,6,8,8.0,15.0,16.0,12.0,12.0,10.0,5.0,9.0,21.0,9.0,9.0,8.0,phage,gene-DMS3-41
gene-DMS3-45,0,0,1,0.0,5.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,phage,gene-DMS3-45
gene-DMS3-4,9,12,9,9.0,24.0,23.0,14.0,22.0,23.0,14.0,19.0,41.0,6.0,18.0,14.0,phage,gene-DMS3-4
gene-DMS3-50,0,0,0,,,,,,,,,,,,,phage,gene-DMS3-50
gene-DMS3-9,0,0,0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,phage,gene-DMS3-9
gene-DMS3-3,5,9,11,5.0,10.0,12.0,10.0,17.0,13.0,5.0,16.0,18.0,4.0,12.0,13.0,phage,gene-DMS3-3
gene-DMS3-34,8,9,21,21.0,34.0,27.0,28.0,12.0,16.0,22.0,24.0,29.0,19.0,21.0,16.0,phage,gene-DMS3-34
gene-DMS3-32,4,8,22,11.0,33.0,25.0,15.0,19.0,19.0,16.0,18.0,32.0,7.0,12.0,13.0,phage,gene-DMS3-32
gene-DMS3-15,0,0,0,,,,,,,,,,,,,phage,gene-DMS3-15
gene-DMS3-28,0,0,2,4.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,8.0,1.0,4.0,0.0,phage,gene-DMS3-28
gene-DMS3-23,0,1,0,,,,,,,,,,,,,phage,gene-DMS3-23
gene-DMS3-44,0,0,2,4.0,9.0,2.0,7.0,8.0,6.0,6.0,6.0,9.0,3.0,3.0,3.0,phage,gene-DMS3-44
gene-DMS3-14,0,0,0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,3.0,1.0,phage,gene-DMS3-14
gene-DMS3-49,1,2,1,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,phage,gene-DMS3-49
gene-DMS3-42,2,2,1,3.0,6.0,1.0,3.0,0.0,3.0,3.0,6.0,3.0,2.0,5.0,1.0,phage,gene-DMS3-42
