Geneid,0_R1,0_R2,0_R3,30_R1,30_R2,30_R3,60_R1,60_R2,60_R3,Entity,Symbol
gene-VPVV882_gp20,513,678,564,8283.0,8780.0,8560.0,23994.0,26204.0,16316.0,phage,gene-VPVV882_gp20
gene-VPVV882_gp47,349,441,425,2831.0,2705.0,2798.0,12197.0,10791.0,8324.0,phage,gene-VPVV882_gp47
gene-VPVV882_gp49,126,136,122,1996.0,1178.0,1433.0,7994.0,6769.0,5087.0,phage,gene-VPVV882_gp49
gene-VPVV882_gp71,1252,1512,1429,57876.0,63768.0,57852.0,140929.0,192066.0,129103.0,phage,gene-VPVV882_gp71
gene-VPVV882_gp14,792,1031,763,10175.0,14888.0,12228.0,33119.0,36578.0,23935.0,phage,gene-VPVV882_gp14
gene-VPVV882_gp30,489,746,575,7314.0,7271.0,7116.0,20488.0,23240.0,15232.0,phage,gene-VPVV882_gp30
gene-VPVV882_gp33,356,552,349,1634.0,1692.0,1623.0,5150.0,5402.0,3483.0,phage,gene-VPVV882_gp33
gene-VPVV882_gp15,1458,1926,1342,19730.0,26123.0,21537.0,54212.0,65536.0,40953.0,phage,gene-VPVV882_gp15
gene-VPVV882_gp37,870,1309,1067,16968.0,14884.0,15705.0,51337.0,56285.0,39517.0,phage,gene-VPVV882_gp37
gene-VPVV882_gp68,2396,3187,2587,7662.0,13387.0,9097.0,10062.0,12381.0,7109.0,phage,gene-VPVV882_gp68
gene-VPVV882_gp57,4250,6104,5564,56411.0,61550.0,54346.0,126141.0,141823.0,88280.0,phage,gene-VPVV882_gp57
gene-VPVV882_gp61,102,140,138,4954.0,5374.0,4425.0,6579.0,6691.0,4315.0,phage,gene-VPVV882_gp61
gene-VPVV882_gp42,185,171,260,6933.0,6687.0,7421.0,16948.0,15051.0,11895.0,phage,gene-VPVV882_gp42
gene-VPVV882_gp44,349,394,364,3113.0,2901.0,2853.0,10160.0,9739.0,6881.0,phage,gene-VPVV882_gp44
gene-VPVV882_gp63,1122,1554,1403,15323.0,16963.0,15334.0,31313.0,33443.0,21708.0,phage,gene-VPVV882_gp63
gene-VPVV882_gp07,3837,5500,4284,43748.0,44494.0,40829.0,105703.0,120280.0,77153.0,phage,gene-VPVV882_gp07
gene-VPVV882_gp24,788,934,828,10013.0,10688.0,10096.0,32519.0,38424.0,24784.0,phage,gene-VPVV882_gp24
gene-VPVV882_gp03,151,199,196,4544.0,4838.0,4347.0,7399.0,8333.0,5177.0,phage,gene-VPVV882_gp03
gene-VPVV882_gp19,1537,2240,1689,31962.0,28201.0,28137.0,74675.0,88384.0,58983.0,phage,J
gene-VPVV882_gp35,2409,3251,2805,36420.0,20163.0,26616.0,115399.0,91896.0,66200.0,phage,D
gene-VPVV882_gp64,529,662,658,12650.0,13982.0,12638.0,25353.0,27006.0,17429.0,phage,gene-VPVV882_gp64
gene-VPVV882_gp39,339,438,383,5736.0,3604.0,4630.0,14990.0,12454.0,10471.0,phage,gene-VPVV882_gp39
gene-VPVV882_gp16,1208,1632,1113,16573.0,18471.0,16304.0,40390.0,49825.0,30572.0,phage,gene-VPVV882_gp16
gene-VPVV882_gp62,851,1004,1020,26753.0,29228.0,26385.0,51715.0,53401.0,35038.0,phage,gene-VPVV882_gp62
gene-VPVV882_gp60,482,556,630,38688.0,38356.0,33933.0,38867.0,46302.0,29715.0,phage,gene-VPVV882_gp60
gene-VPVV882_gp70,1074,1423,1138,18583.0,25428.0,20853.0,43724.0,56585.0,33211.0,phage,gene-VPVV882_gp70
gene-VPVV882_gp54,512,710,556,4528.0,5177.0,4677.0,12893.0,12903.0,8617.0,phage,gene-VPVV882_gp54
gene-VPVV882_gp46,341,551,476,4798.0,4410.0,4237.0,19022.0,16902.0,12343.0,phage,gene-VPVV882_gp46
gene-VPVV882_gp08,387,559,385,4105.0,4870.0,4130.0,12839.0,15514.0,9438.0,phage,gene-VPVV882_gp08
gene-VPVV882_gp43,306,370,359,2978.0,3035.0,2865.0,12188.0,10697.0,8308.0,phage,gene-VPVV882_gp43
gene-VPVV882_gp09,1197,1725,1258,8493.0,9029.0,8208.0,22063.0,24916.0,15497.0,phage,gene-VPVV882_gp09
gene-VPVV882_gp29,737,958,766,3999.0,4026.0,3900.0,9626.0,10247.0,6639.0,phage,gene-VPVV882_gp29
gene-VPVV882_gp02,529,581,550,13095.0,15948.0,13841.0,24524.0,27982.0,17818.0,phage,gene-VPVV882_gp02
gene-VPVV882_gp28,1343,2090,1581,11594.0,12762.0,11227.0,34558.0,41684.0,24731.0,phage,FI
gene-VPVV882_gp01,182,163,177,6444.0,7627.0,6988.0,15810.0,16523.0,10148.0,phage,gene-VPVV882_gp01
gene-VPVV882_gp66,190,319,232,511.0,629.0,531.0,840.0,1022.0,562.0,phage,gene-VPVV882_gp66
gene-VPVV882_gp31,3300,5035,3357,11230.0,11290.0,10569.0,23748.0,25053.0,17116.0,phage,gene-VPVV882_gp31
gene-VPVV882_gp69,455,713,690,14620.0,15441.0,14778.0,45379.0,51932.0,31846.0,phage,gene-VPVV882_gp69
gene-VPVV882_gp23,364,506,367,2238.0,2387.0,2199.0,6740.0,7846.0,5173.0,phage,gene-VPVV882_gp23
gene-VPVV882_gp50,69,97,86,682.0,638.0,605.0,3745.0,3295.0,2176.0,phage,gene-VPVV882_gp50
gene-VPVV882_gp27,64,105,85,1320.0,1651.0,1464.0,4973.0,5271.0,3121.0,phage,gene-VPVV882_gp27
gene-VPVV882_gp41,417,464,545,18914.0,16540.0,18221.0,57225.0,62388.0,44860.0,phage,gene-VPVV882_gp41
gene-VPVV882_gp25,835,898,913,20918.0,21332.0,20167.0,56339.0,57969.0,37511.0,phage,gene-VPVV882_gp25
gene-VPVV882_gp67,269,474,350,735.0,927.0,733.0,1036.0,1070.0,704.0,phage,gene-VPVV882_gp67
