Geneid,Entity,Symbol,0_R1,0_R2,0_R3,30_R1,30_R2,30_R3,60_R1,60_R2,60_R3
gene-VC_RS12620,host,astA,702.0,959.0,830.0,897.0,1156.0,1063.0,780.0,980.0,675.0
gene-VC_RS03065,host,gene-VC_RS03065,265.0,354.0,301.0,413.0,520.0,414.0,254.0,895.0,228.0
gene-VC_RS02265,host,gene-VC_RS02265,,,,,,,,,
gene-VC_RS18015,host,gene-VC_RS18015,268.0,421.0,397.0,280.0,387.0,310.0,318.0,339.0,201.0
gene-VC_RS15185,host,gene-VC_RS15185,75.0,83.0,98.0,71.0,110.0,82.0,97.0,93.0,85.0
gene-VC_RS01635,host,hemE,1217.0,1936.0,1608.0,1465.0,2162.0,1440.0,1421.0,1686.0,999.0
gene-VC_RS13050,host,recG,1017.0,1709.0,1389.0,1339.0,1800.0,1421.0,1911.0,2212.0,1468.0
gene-VC_RS06950,host,ccoS,171.0,232.0,228.0,126.0,208.0,150.0,111.0,129.0,81.0
gene-VC_RS13570,host,gene-VC_RS13570,257.0,396.0,283.0,279.0,408.0,277.0,254.0,276.0,214.0
gene-VPVV882_gp20,phage,gene-VPVV882_gp20,513.0,678.0,564.0,,,,,,
gene-VPVV882_gp47,phage,gene-VPVV882_gp47,349.0,441.0,425.0,2831.0,2705.0,2798.0,,,
gene-VC_RS01710,host,gene-VC_RS01710,1425.0,1673.0,1616.0,2435.0,2746.0,1974.0,1557.0,1334.0,803.0
gene-VC_RS01995,host,uvrA,1827.0,2635.0,2479.0,2915.0,2574.0,2172.0,2294.0,2630.0,1871.0
gene-VC_RS16215,host,gene-VC_RS16215,84.0,113.0,106.0,91.0,110.0,78.0,166.0,163.0,94.0
gene-VC_RS00170,host,gene-VC_RS00170,387.0,555.0,586.0,636.0,786.0,639.0,587.0,577.0,429.0
gene-VC_RS08745,host,gene-VC_RS08745,100.0,173.0,130.0,197.0,222.0,200.0,247.0,236.0,160.0
gene-VC_RS18535,host,gene-VC_RS18535,143.0,240.0,175.0,251.0,369.0,306.0,455.0,532.0,341.0
gene-VC_RS00580,host,lysA,1324.0,2189.0,1754.0,1171.0,2346.0,1308.0,1066.0,,796.0
gene-VC_RS11160,host,tcdA,589.0,966.0,872.0,942.0,1253.0,928.0,1312.0,1623.0,1030.0
gene-VC_RS04610,host,gene-VC_RS04610,200.0,287.0,202.0,159.0,274.0,176.0,347.0,469.0,306.0
gene-VC_RS11600,host,ftsL,296.0,306.0,276.0,,407.0,537.0,356.0,359.0,312.0
gene-VC_RS09460,host,gene-VC_RS09460,1200.0,1964.0,1673.0,1947.0,2357.0,1907.0,,3635.0,2342.0
gene-VC_RS03790,host,ndk,368.0,558.0,466.0,340.0,508.0,407.0,288.0,307.0,213.0
gene-VC_RS08725,host,gene-VC_RS08725,123.0,195.0,196.0,177.0,264.0,200.0,366.0,420.0,253.0
gene-VC_RS12950,host,fieF,295.0,546.0,444.0,578.0,761.0,579.0,561.0,702.0,434.0
gene-VC_RS03840,host,xseA,1779.0,2593.0,2453.0,,,,,,
gene-VC_RS15865,host,nrdD,197.0,258.0,241.0,256.0,360.0,282.0,422.0,427.0,304.0
gene-VC_RS05315,host,gene-VC_RS05315,132.0,214.0,190.0,110.0,180.0,144.0,93.0,157.0,65.0
gene-VC_RS12710,host,gene-VC_RS12710,2285.0,3342.0,2729.0,3010.0,3499.0,2906.0,3016.0,3691.0,2384.0
gene-VC_RS17875,host,gene-VC_RS17875,166.0,267.0,248.0,228.0,258.0,228.0,202.0,273.0,159.0
gene-VC_RS10965,host,gene-VC_RS10965,1212.0,1869.0,1442.0,1149.0,1655.0,1045.0,743.0,844.0,510.0
gene-VC_RS17525,host,gene-VC_RS17525,1061.0,1373.0,1258.0,1122.0,1408.0,1090.0,1074.0,1226.0,820.0
gene-VC_RS03625,host,rdgC,544.0,650.0,611.0,527.0,683.0,592.0,626.0,698.0,528.0
