Geneid,Entity,Symbol,0_R1,0_R2,0_R3,30_R1,30_R2,30_R3,60_R1,60_R2,60_R3
gene-VC_RS12620,host,astA,6.555356891810665,6.866933284461882,6.7226297948554485,6.8001700683022,7.053585727193677,6.96979066990159,6.660575149839686,6.8885724595653635,6.516193076042964
gene-VC_RS03065,host,gene-VC_RS03065,5.583496308781699,5.872117789475416,5.71042701737487,6.025865973825314,6.255750041753367,6.028278520230698,5.541263545158426,6.79794041297493,5.43372200355424
gene-VC_RS02265,host,gene-VC_RS02265,10.890721253220848,10.731668122158984,10.678721504094183,10.681871619942246,10.33227848594779,10.220922583137257,9.036463061964891,9.175127616220438,8.840145877949938
gene-VC_RS18015,host,gene-VC_RS18015,5.594711379601839,6.045005314036012,5.986452005284438,5.638354669333745,5.961005339623274,5.739792912179234,5.765191102784844,5.8289456176102075,5.308267697401205
gene-VC_RS15185,host,gene-VC_RS15185,4.330733340286331,4.430816798843313,4.59511985013459,4.276666119016055,4.709530201312334,4.418840607796598,4.584967478670572,4.543294782270004,4.454347296253507
gene-VC_RS01635,host,hemE,7.1049654482698426,7.5688956634069955,7.3833681469923835,7.290292882446597,7.679251425953058,7.273092595999522,7.259819610363186,7.430707082545968,6.907755278982137
gene-VC_RS13050,host,recG,6.925595197110468,7.444248649496705,7.237059026124737,7.200424892944957,7.496097345175956,7.259819610363186,7.555905093611346,7.70210434005105,7.292337176173877
gene-VC_RS06950,host,ccoS,5.147494476813453,5.4510384535657,5.43372200355424,4.844187086458591,5.342334251964811,5.017279836814924,4.718498871295094,4.867534450455582,4.406719247264253
gene-VC_RS13570,host,gene-VC_RS13570,5.552959584921617,5.983936280687191,5.648974238161206,5.634789603169249,6.013715156042802,5.627621113690637,5.541263545158426,5.6240175061873385,5.3706380281276624
gene-VPVV882_gp20,phage,gene-VPVV882_gp20,6.2422232654551655,6.520621127558696,6.336825731146441,9.022081222515475,9.080345575359996,9.054972284742485,10.085600754292345,10.173705511236266,9.69996278809107
gene-VPVV882_gp47,phage,gene-VPVV882_gp47,5.857933154483459,6.091309882077698,6.054439346269371,7.94873845481361,7.903226808730733,7.937017489515454,9.409027282856401,9.286560397887591,9.027018314848645
gene-VC_RS01710,host,gene-VC_RS01710,7.262628600974241,7.422971251049421,7.388327859577107,7.798112628829788,7.918264686095274,7.5883236773352225,7.351158226430694,7.19668657083435,6.6895992691789665
gene-VC_RS01995,host,uvrA,7.510977752014095,7.877017895622398,7.8160138391590275,7.977968093128549,7.853604813097837,7.6838639802564295,7.738488122494646,7.875119281040293,7.534762657037537
gene-VC_RS16215,host,gene-VC_RS16215,4.442651256490317,4.736198448394496,4.672828834461906,4.5217885770490405,4.709530201312334,4.3694478524670215,5.117993812416755,5.099866427824199,4.553876891600541
gene-VC_RS00170,host,gene-VC_RS00170,5.961005339623274,6.320768294250582,6.375024819828097,6.456769655572163,6.668228248417403,6.461468176353717,6.376726947898627,6.359573868672378,6.063785208687608
gene-VC_RS08745,host,gene-VC_RS08745,4.61512051684126,5.159055299214529,4.875197323201151,5.288267030694535,5.407171771460119,5.303304908059076,5.5134287461649825,5.4680601411351315,5.081404364984463
gene-VC_RS18535,host,gene-VC_RS18535,4.969813299576001,5.484796933490655,5.170483995038151,5.529429087511423,5.91350300563827,5.726847747587197,6.1224928095143865,6.278521424165844,5.834810737062605
gene-VC_RS00580,host,lysA,7.1891677384203225,7.691656822810547,7.470224135899966,7.066466970136958,7.760893195851024,7.1770187659099,6.9726062513017535,8.896998552743824,6.680854678790215
gene-VC_RS11160,host,tcdA,6.380122536899765,6.874198495453294,6.771935555839602,6.849066282633458,7.134093721192866,6.834108738813838,7.180069874302796,7.392647520721623,6.93828448401696
gene-VC_RS04610,host,gene-VC_RS04610,5.303304908059076,5.662960480135946,5.313205979041787,5.075173815233827,5.616771097666572,5.176149732573829,5.8522024797744745,6.152732694704104,5.726847747587197
gene-VC_RS11600,host,ftsL,5.6937321388027,5.726847747587197,5.6240175061873385,9.75909741657673,6.0112671744041615,6.2878585601617845,5.877735781779639,5.886104031450156,5.746203190540153
gene-VC_RS09460,host,gene-VC_RS09460,7.0909098220799835,7.583247524303362,7.422971251049421,7.5745584842024805,7.765569081097317,7.553810852008231,8.094988759303774,8.19863945529737,7.759187438507795
gene-VC_RS03790,host,ndk,5.910796644040527,6.326149473155099,6.1463292576688975,5.831882477283517,6.2324480165505225,6.0112671744041615,5.666426688112432,5.730099782973574,5.365976015021851
gene-VC_RS08725,host,gene-VC_RS08725,4.820281565605037,5.278114659230517,5.2832037287379885,5.181783550292085,5.579729825986222,5.303304908059076,5.905361848054571,6.042632833682381,5.537334267018537
gene-VC_RS12950,host,fieF,5.69035945432406,6.304448802421981,6.09807428216624,6.361302477572996,6.635946555686647,6.363028103540465,6.331501849893691,6.555356891810665,6.075346031088684
gene-VC_RS03840,host,xseA,7.484368643286131,7.860956364876389,7.805474625270857,8.165363632473982,8.376781037699493,8.152198015861787,8.69901462316851,8.818038250394299,8.48590890137647
gene-VC_RS15865,host,nrdD,5.288267030694535,5.556828061699537,5.488937726156687,5.54907608489522,5.8888779583328805,5.645446897643238,6.0473721790462776,6.059123195581797,5.720311776607412
gene-VC_RS05315,host,gene-VC_RS05315,4.890349128221754,5.3706380281276624,5.25227342804663,4.709530201312334,5.198497031265826,4.976733742420574,4.543294782270004,5.062595033026967,4.189654742026425
gene-VC_RS12710,host,gene-VC_RS12710,7.734558844354756,8.114623886420098,7.912056888179006,8.010027528481734,8.160518247477505,7.9748769005588755,8.012018239159062,8.213923595622743,7.776954403322442
gene-VC_RS17875,host,gene-VC_RS17875,5.117993812416755,5.5909869805108565,5.517452896464707,5.43372200355424,5.556828061699537,5.43372200355424,5.313205979041787,5.6131281063880705,5.075173815233827
gene-VC_RS10965,host,gene-VC_RS10965,7.10085190894405,7.533693709848633,7.274479558773871,7.047517221357296,7.412160334945205,6.952728644624869,6.612041034833092,6.739336627357174,6.236369590203704
gene-VC_RS17525,host,gene-VC_RS17525,6.967909201801884,7.2254814727822945,7.138073034044347,7.023758954738443,7.25063551189868,6.994849985833071,6.980075940561763,7.112327444710911,6.710523109452428
