Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3
gene-PA3733a,host,gene-PA3733a,231.0,281.0,367.0,151.0,345.0,178.0,64.0,112.0,99.0,117.0,125.0,184.0
gene-PA2175,host,gene-PA2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3190,host,gene-PA3190,486.0,450.0,561.0,145.0,122.0,338.0,124.0,96.0,646.0,149.0,112.0,376.0
gene-PA3483,host,gene-PA3483,659.0,654.0,632.0,495.0,1206.0,1424.0,704.0,973.0,1202.0,728.0,1017.0,1527.0
gene-PA3519,host,gene-PA3519,17.0,83.0,51.0,31.0,77.0,44.0,23.0,48.0,19.0,24.0,30.0,22.0
gene-PA1737,host,gene-PA1737,298.0,920.0,590.0,364.0,699.0,259.0,353.0,524.0,216.0,966.0,1234.0,359.0
gene-PA3070,host,gene-PA3070,1256.0,2573.0,1668.0,1001.0,1857.0,1105.0,718.0,1122.0,1159.0,822.0,1178.0,1168.0
gene-PA1340,host,gene-PA1340,232.0,453.0,313.0,228.0,330.0,488.0,125.0,219.0,1301.0,111.0,221.0,790.0
gene-PA5359,host,gene-PA5359,432.0,962.0,648.0,278.0,567.0,327.0,183.0,279.0,331.0,285.0,319.0,302.0
gene-PA2165,host,gene-PA2165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gene-PA2211,host,gene-PA2211,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gene-PA0173,host,gene-PA0173,34.0,129.0,44.0,41.0,106.0,28.0,10.0,59.0,19.0,11.0,36.0,26.0
gene-PA0805,host,gene-PA0805,,,,,,,,,,,,
gene-PA0267,host,gene-PA0267,340.0,378.0,472.0,299.0,811.0,540.0,240.0,452.0,420.0,271.0,353.0,399.0
gene-PA1758,host,pabB,463.0,929.0,649.0,502.0,1088.0,835.0,383.0,799.0,665.0,392.0,597.0,658.0
gene-PA3099,host,xcpV,119.0,235.0,159.0,145.0,375.0,156.0,103.0,198.0,153.0,99.0,171.0,249.0
gene-PA4998,host,gene-PA4998,560.0,917.0,1061.0,987.0,2186.0,1320.0,645.0,1490.0,1126.0,614.0,1033.0,1165.0
gene-PA5304,host,dadA,,,,1073.0,1969.0,959.0,1000.0,545.0,1347.0,,1805.0,636.0
gene-PA1279,host,cobU,415.0,444.0,361.0,301.0,307.0,157.0,255.0,222.0,466.0,434.0,538.0,556.0
gene-PA2419,host,gene-PA2419,48.0,74.0,85.0,38.0,51.0,50.0,25.0,38.0,57.0,38.0,40.0,37.0
gene-PA0799,host,gene-PA0799,631.0,909.0,831.0,687.0,1612.0,1327.0,670.0,1190.0,1136.0,744.0,1063.0,1092.0
gene-PA4245,host,rpmD,,,,,,,,,,,,
gene-PA2512,host,antA,55.0,127.0,52.0,39.0,101.0,44.0,28.0,59.0,29.0,38.0,52.0,40.0
gene-PA3668,host,gene-PA3668,159.0,335.0,198.0,178.0,348.0,333.0,135.0,256.0,216.0,154.0,224.0,224.0
gene-PA0971,host,tolA,,2899.0,,,,,,,,,,
gene-PA5252,host,gene-PA5252,1468.0,1797.0,1500.0,,,,1245.0,,1563.0,1232.0,1821.0,2185.0
gene-PA3095,host,xcpZ,159.0,276.0,168.0,111.0,277.0,168.0,116.0,210.0,142.0,88.0,227.0,282.0
gene-PA4162,host,gene-PA4162,175.0,303.0,224.0,86.0,186.0,107.0,50.0,89.0,102.0,81.0,138.0,87.0
gene-PA4677,host,gene-PA4677,392.0,753.0,464.0,348.0,580.0,328.0,172.0,301.0,289.0,182.0,243.0,328.0
gene-PA0021,host,gene-PA0021,89.0,136.0,121.0,49.0,91.0,39.0,35.0,84.0,50.0,29.0,67.0,70.0
gene-PA3939,host,gene-PA3939,87.0,99.0,113.0,85.0,140.0,137.0,50.0,95.0,121.0,47.0,82.0,96.0
gene-PA4166,host,gene-PA4166,35.0,70.0,60.0,25.0,166.0,44.0,18.0,81.0,50.0,19.0,34.0,52.0
gene-PA4179,host,gene-PA4179,204.0,655.0,383.0,177.0,639.0,576.0,81.0,289.0,435.0,100.0,168.0,202.0
gene-PA1128,host,gene-PA1128,135.0,393.0,154.0,93.0,268.0,129.0,57.0,109.0,176.0,77.0,140.0,139.0
gene-PA2545,host,xthA,526.0,607.0,591.0,454.0,1268.0,858.0,399.0,720.0,684.0,460.0,607.0,791.0
gene-PA5104,host,gene-PA5104,630.0,1998.0,372.0,293.0,1099.0,148.0,240.0,491.0,203.0,217.0,729.0,113.0
gene-PA0924,host,gene-PA0924,521.0,714.0,381.0,429.0,742.0,735.0,491.0,365.0,267.0,340.0,349.0,389.0
gene-PA2573,host,gene-PA2573,375.0,962.0,436.0,222.0,354.0,138.0,154.0,200.0,190.0,228.0,265.0,124.0
gene-PA1942,host,gene-PA1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2190,host,gene-PA2190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2373,host,gene-PA2373,218.0,441.0,212.0,337.0,497.0,125.0,140.0,228.0,99.0,135.0,173.0,110.0
gene-PA3560,host,fruA,159.0,265.0,367.0,156.0,300.0,880.0,327.0,189.0,248.0,418.0,560.0,1718.0
gene-PA1646,host,gene-PA1646,391.0,726.0,579.0,196.0,299.0,162.0,86.0,148.0,136.0,136.0,137.0,116.0
gene-PA2054,host,cynR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3600,host,gene-PA3600,81.0,209.0,139.0,79.0,165.0,80.0,118.0,126.0,98.0,77.0,131.0,116.0
gene-PA2814,host,gene-PA2814,240.0,602.0,378.0,126.0,224.0,47.0,139.0,122.0,123.0,161.0,227.0,148.0
gene-PA5563,host,soj,1318.0,1931.0,1824.0,1332.0,3431.0,2328.0,,2300.0,,,2139.0,
gene-PA1401,host,gene-PA1401,79.0,248.0,152.0,47.0,113.0,64.0,33.0,60.0,99.0,51.0,97.0,63.0
gene-PA4010,host,gene-PA4010,392.0,417.0,584.0,453.0,907.0,709.0,365.0,641.0,553.0,476.0,461.0,835.0
gene-PA4551,host,pilV,933.0,1305.0,566.0,508.0,860.0,469.0,489.0,801.0,913.0,485.0,823.0,844.0
gene-PA1997,host,gene-PA1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gene-PA3429,host,gene-PA3429,89.0,179.0,217.0,96.0,121.0,73.0,37.0,53.0,94.0,75.0,91.0,52.0
gene-PA2589,host,gene-PA2589,50.0,85.0,42.0,25.0,40.0,20.0,22.0,24.0,24.0,15.0,30.0,24.0
gene-PA3553,host,arnC,114.0,255.0,230.0,67.0,186.0,234.0,106.0,104.0,246.0,144.0,185.0,572.0
gene-PA2774,host,gene-PA2774,261.0,196.0,224.0,185.0,525.0,672.0,292.0,400.0,603.0,353.0,486.0,816.0
gene-PA1757,host,thrH,268.0,347.0,303.0,321.0,1160.0,671.0,246.0,563.0,378.0,325.0,432.0,607.0
gene-PA3087,host,gene-PA3087,716.0,1203.0,717.0,435.0,1243.0,738.0,407.0,697.0,824.0,527.0,763.0,780.0
gene-PA0995,host,ogt,418.0,969.0,915.0,256.0,470.0,246.0,188.0,235.0,266.0,164.0,313.0,228.0
gene-PA2129,host,cupA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA5444,host,gene-PA5444,275.0,483.0,336.0,206.0,541.0,435.0,222.0,366.0,258.0,221.0,315.0,368.0
gene-PA2295,host,gene-PA2295,19.0,17.0,19.0,18.0,69.0,26.0,24.0,21.0,11.0,8.0,20.0,13.0
gene-PA4209,host,phzM,124.0,204.0,147.0,71.0,89.0,64.0,48.0,64.0,73.0,56.0,59.0,64.0
gene-PA0873,host,phhR,513.0,1280.0,988.0,384.0,819.0,600.0,142.0,430.0,934.0,233.0,370.0,446.0
gene-PA4134,host,gene-PA4134,165.0,200.0,270.0,89.0,194.0,117.0,66.0,125.0,107.0,110.0,120.0,143.0
gene-PA0505,host,gene-PA0505,979.0,2092.0,2061.0,491.0,1053.0,566.0,592.0,588.0,517.0,677.0,1180.0,432.0
gene-PA2088,host,gene-PA2088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA5049,host,rpmE,,,,,,,,,,,,
gene-PA1561,host,aer,,,,,3788.0,1514.0,1022.0,1295.0,1138.0,1683.0,1744.0,864.0
gene-PA2604,host,gene-PA2604,,2739.0,,,,1608.0,1378.0,2378.0,1646.0,1635.0,,1933.0
gene-PA2249,host,bkdB,509.0,,1810.0,,,583.0,560.0,1175.0,182.0,407.0,365.0,131.0
gene-PA0043,host,gene-PA0043,194.0,419.0,323.0,145.0,272.0,187.0,107.0,156.0,200.0,119.0,194.0,179.0
gene-PA1700,host,gene-PA1700,32.0,36.0,64.0,17.0,40.0,125.0,13.0,26.0,111.0,24.0,37.0,85.0
gene-PA0975,host,gene-PA0975,449.0,526.0,639.0,1025.0,1529.0,808.0,653.0,1186.0,496.0,1022.0,564.0,535.0
gene-PA4718,host,gene-PA4718,747.0,1335.0,1086.0,566.0,1006.0,548.0,433.0,544.0,504.0,501.0,609.0,555.0
gene-PA0300,host,spuD,,,,1471.0,3082.0,1981.0,1066.0,1681.0,,1252.0,2062.0,
gene-PA2445,host,gcvP2,,,1978.0,,,2406.0,,,1078.0,,,436.0
gene-PA4903,host,gene-PA4903,36.0,143.0,86.0,58.0,82.0,41.0,25.0,49.0,56.0,22.0,47.0,40.0
gene-PA2817,host,gene-PA2817,237.0,599.0,250.0,381.0,939.0,552.0,331.0,509.0,287.0,340.0,373.0,406.0
gene-PA0867,host,mliC,1296.0,668.0,1880.0,552.0,694.0,853.0,387.0,480.0,911.0,518.0,736.0,920.0
gene-PA4312,host,gene-PA4312,303.0,951.0,539.0,315.0,649.0,441.0,233.0,371.0,343.0,337.0,371.0,359.0
gene-PA2261,host,gene-PA2261,698.0,1473.0,930.0,745.0,425.0,100.0,109.0,68.0,43.0,114.0,40.0,32.0
gene-PA1289,host,gene-PA1289,89.0,237.0,151.0,57.0,97.0,67.0,39.0,67.0,58.0,60.0,98.0,78.0
gene-PA3614,host,gene-PA3614,,,,1180.0,1597.0,452.0,615.0,612.0,1024.0,1258.0,1052.0,480.0
gene-PA1680,host,gene-PA1680,161.0,342.0,348.0,168.0,296.0,128.0,91.0,148.0,157.0,130.0,194.0,184.0
gene-PA2140,host,gene-PA2140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA5369,host,pstS,368.0,723.0,588.0,286.0,521.0,318.0,944.0,424.0,318.0,,772.0,691.0
gene-PA5042,host,pilO,1638.0,,2335.0,,3772.0,967.0,1440.0,,1235.0,1345.0,2300.0,2346.0
gene-PA5374,host,betI,,,,1668.0,1707.0,1129.0,613.0,625.0,1152.0,702.0,829.0,905.0
gene-PA0785,host,azoR1,43.0,106.0,110.0,27.0,52.0,38.0,21.0,42.0,42.0,33.0,50.0,44.0
gene-PA0395,host,pilT,1166.0,2145.0,1439.0,948.0,2811.0,1119.0,832.0,2309.0,1865.0,837.0,1577.0,1579.0
gene-PA5069,host,tatB,1544.0,2001.0,1544.0,1264.0,2477.0,1763.0,1046.0,1811.0,1350.0,899.0,1626.0,1345.0
gene-PA2061,host,gene-PA2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA1072,host,braE,129.0,462.0,346.0,306.0,378.0,234.0,94.0,148.0,596.0,87.0,152.0,526.0
gene-phiYY_sL3,phage,gene-phiYY_sL3,0.0,1.0,0.0,,,,,,,,,
gene-PA1908,host,gene-PA1908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0129,host,gabP,351.0,631.0,477.0,573.0,890.0,526.0,346.0,702.0,302.0,318.0,374.0,341.0
gene-PA3672,host,gene-PA3672,191.0,314.0,236.0,129.0,452.0,288.0,116.0,314.0,234.0,124.0,254.0,319.0
gene-PA0049,host,gene-PA0049,106.0,158.0,69.0,57.0,124.0,113.0,155.0,95.0,127.0,170.0,202.0,407.0
gene-PA3324,host,gene-PA3324,163.0,316.0,171.0,166.0,238.0,98.0,105.0,131.0,89.0,87.0,107.0,95.0
