GeneID,Temporal_Class
gene-phage515_00114,middle
gene-phage515_00175,middle
gene-phage515_00173,middle
gene-phage515_00223,middle
gene-phage515_00208,early
gene-phage515_00180,middle
gene-phage515_00124,middle
gene-phage515_00028,middle
gene-phage515_00152,middle
gene-phage515_00073,early
gene-phage515_00062,middle
gene-phage515_00019,early
gene-phage515_00204,middle
gene-phage515_00205,middle
gene-phage515_00230,early
gene-phage515_00044,middle
gene-phage515_00095,middle
gene-phage515_00015,early
gene-phage515_00167,middle
gene-phage515_00126,middle
gene-phage515_00209,early
gene-phage515_00087,middle
gene-phage515_00138,middle
gene-phage515_00151,middle
gene-phage515_00177,middle
gene-phage515_00068,middle
gene-phage515_00116,middle
gene-phage515_00094,middle
gene-phage515_00091,middle
gene-phage515_00197,middle
gene-phage515_00092,early
gene-phage515_00077,middle
gene-phage515_00186,middle
gene-phage515_00008,middle
gene-phage515_00194,middle
gene-phage515_00157,middle
gene-phage515_00045,middle
gene-phage515_00171,middle
gene-phage515_00112,middle
gene-phage515_00070,middle
gene-phage515_00066,middle
gene-phage515_00036,middle
gene-phage515_00034,middle
gene-phage515_00190A,middle
gene-phage515_00030,middle
gene-phage515_00184,middle
gene-phage515_00176,middle
gene-phage515_00010,early
gene-phage515_00128,middle
gene-phage515_00079,middle
gene-phage515_00109,middle
gene-phage515_00206,middle
gene-phage515_00081,early
gene-phage515_00165,middle
gene-phage515_00016,early
gene-phage515_00037,middle
gene-phage515_00052,middle
gene-phage515_00038,middle
gene-phage515_00181,middle
gene-phage515_00163,middle
gene-phage515_00046,middle
gene-phage515_00133,middle
gene-phage515_00190,middle
gene-phage515_00231,early
gene-phage515_00021,middle
gene-phage515_00076,middle
gene-phage515_00074,early
gene-phage515_00140,middle
gene-phage515_00185,middle
gene-phage515_00047,middle
gene-phage515_00103,middle
gene-phage515_00024,middle
gene-phage515_00063,middle
gene-phage515_00226,early
gene-phage515_00120,middle
gene-phage515_00176A,middle
gene-phage515_00153,middle
gene-phage515_00210,early
gene-phage515_00136,middle
gene-phage515_00222,middle
gene-phage515_00006,middle
gene-phage515_00233,early
gene-phage515_00004,middle
gene-phage515_00099,middle
gene-phage515_00170,middle
gene-phage515_00189,middle
gene-phage515_00218,middle
gene-phage515_00229,early
gene-phage515_00058,middle
gene-phage515_00017,early
gene-phage515_00160,early
gene-phage515_00147,middle
gene-phage515_00080,early
gene-phage515_00067,middle
gene-phage515_00102,middle
gene-phage515_00026,middle
gene-phage515_00188,middle
gene-phage515_00111,middle
gene-phage515_00105,middle
gene-phage515_00069,middle
gene-phage515_00219,middle
gene-phage515_00039,middle
gene-phage515_00001,middle
gene-phage515_00104,middle
gene-phage515_00201,middle
gene-phage515_00187,middle
gene-phage515_00155,middle
gene-phage515_00144,middle
gene-phage515_00125,middle
gene-phage515_00033,middle
gene-phage515_00183,middle
gene-phage515_00179,middle
gene-phage515_00107,early
gene-phage515_00214,middle
gene-phage515_00141,middle
gene-phage515_00172,middle
gene-phage515_00130,middle
gene-phage515_00056,middle
gene-phage515_00131,middle
gene-phage515_00051,late
gene-phage515_00203,middle
gene-phage515_00156,middle
gene-phage515_00149,middle
gene-phage515_00213,middle
gene-phage515_00110,middle
gene-phage515_00228,middle
gene-phage515_00159,middle
gene-phage515_00168,middle
gene-phage515_00025,middle
gene-phage515_00075,middle
gene-phage515_00169,middle
gene-phage515_00108,middle
gene-phage515_00082,early
gene-phage515_00189B,middle
gene-phage515_00148,middle
gene-phage515_00154,middle
gene-phage515_00013,middle
gene-phage515_00193,middle
gene-phage515_00031,middle
gene-phage515_00127,middle
gene-phage515_00132,middle
gene-phage515_00200,middle
gene-phage515_00093,middle
gene-phage515_00014,early
gene-phage515_00134,middle
gene-phage515_00071,middle
gene-phage515_00090,middle
gene-phage515_00082A,early
gene-phage515_00122,middle
gene-phage515_00115,middle
