Geneid,0_R1,0_R2,0_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,15_R1,15_R2,15_R3,Entity,Symbol
gene-PA2589,12.0,13.0,24.0,4.0,10.0,119.0,1.0,2.0,19.0,0.0,0.0,203.0,host,gene-PA2589
gene-PA1795,,,,,,489.0,,,41.0,,,246.0,host,cysS
gene-PA2468,,,20.0,25.0,30.0,38.0,10.0,7.0,6.0,4.0,4.0,86.0,host,foxI
gene-PA4119,14.0,15.0,14.0,17.0,21.0,96.0,9.0,4.0,10.0,6.0,3.0,175.0,host,aph
gene-PA2246,30.0,21.0,8.0,9.0,21.0,101.0,1.0,2.0,8.0,0.0,2.0,72.0,host,bkdR
gene-PA1033,22.0,20.0,28.0,13.0,11.0,125.0,3.0,4.0,15.0,3.0,1.0,122.0,host,gene-PA1033
gene-PA2214,3.0,2.0,21.0,3.0,1.0,222.0,0.0,2.0,23.0,0.0,0.0,306.0,host,gene-PA2214
gene-PA3210,25.0,18.0,37.0,14.0,25.0,323.0,7.0,3.0,33.0,2.0,8.0,253.0,host,trkH
gene-PA4724,66.0,42.0,25.0,179.0,40.0,97.0,8.0,5.0,15.0,2.0,2.0,177.0,host,gene-PA4724
gene-PA5368,46.0,37.0,,42.0,61.0,,23.0,27.0,,24.0,9.0,,host,pstC
gene-PA1496,17.0,24.0,13.0,9.0,13.0,121.0,0.0,1.0,15.0,3.0,4.0,110.0,host,gene-PA1496
gene-PA3978,53.0,53.0,66.0,36.0,59.0,138.0,15.0,14.0,,8.0,10.0,,host,gene-PA3978
gene-PA3440,56.0,46.0,36.0,33.0,40.0,111.0,8.0,6.0,21.0,3.0,3.0,95.0,host,gene-PA3440
gene-PA2568,110.0,65.0,31.0,43.0,74.0,73.0,8.0,15.0,10.0,4.0,5.0,46.0,host,gene-PA2568
gene-PA3091,244.0,166.0,38.0,68.0,83.0,176.0,16.0,16.0,16.0,11.0,8.0,176.0,host,gene-PA3091
gene-PA0504,40.0,35.0,13.0,40.0,67.0,63.0,13.0,11.0,,3.0,1.0,100.0,host,bioD
gene-PA4546,65.0,52.0,,44.0,67.0,312.0,14.0,9.0,,6.0,6.0,491.0,host,pilS
gene-PA0925,24.0,14.0,18.0,26.0,28.0,106.0,3.0,8.0,22.0,11.0,4.0,121.0,host,gene-PA0925
gene-PA5178,,,,,,444.0,,,,,,256.0,host,gene-PA5178
gene-PA5205,105.0,81.0,71.0,17.0,35.0,191.0,1.0,11.0,45.0,8.0,2.0,186.0,host,gene-PA5205
gene-PA1439,35.0,31.0,16.0,22.0,26.0,48.0,8.0,6.0,8.0,2.0,6.0,53.0,host,gene-PA1439
gene-PA1503,7.0,4.0,8.0,4.0,3.0,47.0,1.0,0.0,5.0,0.0,0.0,61.0,host,gene-PA1503
gene-PA0730,75.0,67.0,,36.0,60.0,340.0,9.0,6.0,,9.0,2.0,179.0,host,gene-PA0730
gene-PA1695,45.0,13.0,11.0,14.0,8.0,65.0,6.0,6.0,6.0,1.0,4.0,81.0,host,pscP
gene-PA4506,37.0,34.0,31.0,14.0,19.0,130.0,2.0,6.0,23.0,1.0,2.0,246.0,host,gene-PA4506
gene-PA3686,,,153.0,,,213.0,,,36.0,,,82.0,host,adk
gene-PA0550,26.0,36.0,29.0,31.0,67.0,206.0,7.0,7.0,27.0,10.0,2.0,215.0,host,gene-PA0550
gene-PA4637,22.0,128.0,24.0,56.0,92.0,65.0,27.0,44.0,10.0,28.0,9.0,40.0,host,gene-PA4637
gene-PA2937,4.0,8.0,14.0,1.0,2.0,39.0,1.0,2.0,10.0,0.0,0.0,54.0,host,gene-PA2937
gene-PA5043,,,,,,204.0,,,25.0,32.0,20.0,92.0,host,pilN
gene-PA1816,154.0,243.0,72.0,135.0,230.0,119.0,28.0,48.0,11.0,22.0,19.0,75.0,host,dnaQ
gene-PPLUZ19_gp23,2.0,0.0,32.0,1.0,7.0,,,,,,,,phage,gp23
gene-PA4733,202.0,189.0,77.0,102.0,120.0,310.0,15.0,9.0,25.0,11.0,5.0,266.0,host,acsB
gene-PA0027,249.0,263.0,60.0,92.0,195.0,194.0,18.0,11.0,18.0,13.0,8.0,476.0,host,gene-PA0027
gene-PA4819,0.0,3.0,11.0,1.0,5.0,195.0,1.0,1.0,15.0,0.0,0.0,398.0,host,gene-PA4819
gene-PA0407,,,146.0,,,186.0,49.0,60.0,22.0,17.0,10.0,77.0,host,gshB
gene-PA4496,209.0,197.0,,,292.0,,32.0,20.0,51.0,14.0,4.0,256.0,host,gene-PA4496
gene-PA1563,51.0,48.0,20.0,33.0,37.0,144.0,9.0,8.0,12.0,3.0,4.0,209.0,host,gene-PA1563
gene-PA0532,21.0,24.0,29.0,14.0,23.0,220.0,1.0,4.0,19.0,1.0,3.0,118.0,host,gene-PA0532
gene-PA3666,94.0,84.0,60.0,142.0,195.0,221.0,34.0,21.0,16.0,11.0,10.0,264.0,host,dapD
gene-PA3294,45.0,50.0,53.0,23.0,28.0,324.0,9.0,8.0,37.0,6.0,1.0,407.0,host,gene-PA3294
gene-PA4006,296.0,,111.0,,,196.0,40.0,69.0,14.0,28.0,12.0,193.0,host,nadD
gene-PA4932,,,,,,,,,,,,203.0,host,rplI
gene-PA5347,96.0,118.0,,60.0,114.0,158.0,9.0,13.0,19.0,4.0,17.0,59.0,host,gene-PA5347
