GeneID,Temporal_Class
gene-VPVV882_gp20,late
gene-VPVV882_gp47,middle
gene-VPVV882_gp49,middle
gene-VPVV882_gp71,late
gene-VPVV882_gp14,late
gene-VPVV882_gp30,late
gene-VPVV882_gp33,late
gene-VPVV882_gp15,late
gene-VPVV882_gp37,late
gene-VPVV882_gp68,middle
gene-VPVV882_gp57,late
gene-VPVV882_gp61,late
gene-VPVV882_gp42,middle
gene-VPVV882_gp44,middle
gene-VPVV882_gp63,late
gene-VPVV882_gp07,late
gene-VPVV882_gp24,late
gene-VPVV882_gp03,late
gene-VPVV882_gp19,late
gene-VPVV882_gp35,middle
gene-VPVV882_gp64,late
gene-VPVV882_gp39,middle
gene-VPVV882_gp16,late
gene-VPVV882_gp62,late
gene-VPVV882_gp60,late
gene-VPVV882_gp70,late
gene-VPVV882_gp54,late
gene-VPVV882_gp46,middle
gene-VPVV882_gp08,late
gene-VPVV882_gp43,middle
gene-VPVV882_gp09,late
gene-VPVV882_gp29,late
gene-VPVV882_gp02,late
gene-VPVV882_gp28,late
gene-VPVV882_gp01,late
gene-VPVV882_gp66,late
gene-VPVV882_gp31,late
gene-VPVV882_gp69,late
gene-VPVV882_gp23,late
gene-VPVV882_gp50,middle
gene-VPVV882_gp27,late
gene-VPVV882_gp41,late
gene-VPVV882_gp25,late
gene-VPVV882_gp67,late
gene-VPVV882_gp04,late
gene-VPVV882_gp34,late
gene-VPVV882_gp11,late
gene-VPVV882_gp17,late
gene-VPVV882_gp22,late
gene-VPVV882_gp56,late
gene-VPVV882_gp36,middle
gene-VPVV882_gp52,middle
gene-VPVV882_gp18,late
gene-VPVV882_gp55,late
gene-VPVV882_gp13,late
gene-VPVV882_gp26,late
gene-VPVV882_gp45,middle
gene-VPVV882_gp58,late
gene-VPVV882_gp10,late
gene-VPVV882_gp38,late
gene-VPVV882_gp05,late
gene-VPVV882_gp59,middle
gene-VPVV882_gp32,late
gene-VPVV882_gp51,middle
gene-VPVV882_gp06,late
gene-VPVV882_gp12,late
gene-VPVV882_gp40,late
gene-VPVV882_gp65,late
gene-VPVV882_gp53,middle
gene-VPVV882_gp21,late
gene-VPVV882_gp48,middle
