,length,GC_content,motif_TATA,motif_sigma35,motif_sigma10,k3_AAA,k3_AAC,k3_AAG,k3_AAT,k3_ACA,k3_ACC,k3_ACG,k3_ACT,k3_AGA,k3_AGC,k3_AGG,k3_AGT,k3_ATA,k3_ATC,k3_ATG,k3_ATT,k3_CAA,k3_CAC,k3_CAG,k3_CAT,k3_CCA,k3_CCC,k3_CCG,k3_CCT,k3_CGA,k3_CGC,k3_CGG,k3_CGT,k3_CTA,k3_CTC,k3_CTG,k3_CTT,k3_GAA,k3_GAC,k3_GAG,k3_GAT,k3_GCA,k3_GCC,k3_GCG,k3_GCT,k3_GGA,k3_GGC,k3_GGG,k3_GGT,k3_GTA,k3_GTC,k3_GTG,k3_GTT,k3_TAA,k3_TAC,k3_TAG,k3_TAT,k3_TCA,k3_TCC,k3_TCG,k3_TCT,k3_TGA,k3_TGC,k3_TGG,k3_TGT,k3_TTA,k3_TTC,k3_TTG,k3_TTT,k4_AAAA,k4_AAAC,k4_AAAG,k4_AAAT,k4_AACA,k4_AACC,k4_AACG,k4_AACT,k4_AAGA,k4_AAGC,k4_AAGG,k4_AAGT,k4_AATA,k4_AATC,k4_AATG,k4_AATT,k4_ACAA,k4_ACAC,k4_ACAG,k4_ACAT,k4_ACCA,k4_ACCC,k4_ACCG,k4_ACCT,k4_ACGA,k4_ACGC,k4_ACGG,k4_ACGT,k4_ACTA,k4_ACTC,k4_ACTG,k4_ACTT,k4_AGAA,k4_AGAC,k4_AGAG,k4_AGAT,k4_AGCA,k4_AGCC,k4_AGCG,k4_AGCT,k4_AGGA,k4_AGGC,k4_AGGG,k4_AGGT,k4_AGTA,k4_AGTC,k4_AGTG,k4_AGTT,k4_ATAA,k4_ATAC,k4_ATAG,k4_ATAT,k4_ATCA,k4_ATCC,k4_ATCG,k4_ATCT,k4_ATGA,k4_ATGC,k4_ATGG,k4_ATGT,k4_ATTA,k4_ATTC,k4_ATTG,k4_ATTT,k4_CAAA,k4_CAAC,k4_CAAG,k4_CAAT,k4_CACA,k4_CACC,k4_CACG,k4_CACT,k4_CAGA,k4_CAGC,k4_CAGG,k4_CAGT,k4_CATA,k4_CATC,k4_CATG,k4_CATT,k4_CCAA,k4_CCAC,k4_CCAG,k4_CCAT,k4_CCCA,k4_CCCC,k4_CCCG,k4_CCCT,k4_CCGA,k4_CCGC,k4_CCGG,k4_CCGT,k4_CCTA,k4_CCTC,k4_CCTG,k4_CCTT,k4_CGAA,k4_CGAC,k4_CGAG,k4_CGAT,k4_CGCA,k4_CGCC,k4_CGCG,k4_CGCT,k4_CGGA,k4_CGGC,k4_CGGG,k4_CGGT,k4_CGTA,k4_CGTC,k4_CGTG,k4_CGTT,k4_CTAA,k4_CTAC,k4_CTAG,k4_CTAT,k4_CTCA,k4_CTCC,k4_CTCG,k4_CTCT,k4_CTGA,k4_CTGC,k4_CTGG,k4_CTGT,k4_CTTA,k4_CTTC,k4_CTTG,k4_CTTT,k4_GAAA,k4_GAAC,k4_GAAG,k4_GAAT,k4_GACA,k4_GACC,k4_GACG,k4_GACT,k4_GAGA,k4_GAGC,k4_GAGG,k4_GAGT,k4_GATA,k4_GATC,k4_GATG,k4_GATT,k4_GCAA,k4_GCAC,k4_GCAG,k4_GCAT,k4_GCCA,k4_GCCC,k4_GCCG,k4_GCCT,k4_GCGA,k4_GCGC,k4_GCGG,k4_GCGT,k4_GCTA,k4_GCTC,k4_GCTG,k4_GCTT,k4_GGAA,k4_GGAC,k4_GGAG,k4_GGAT,k4_GGCA,k4_GGCC,k4_GGCG,k4_GGCT,k4_GGGA,k4_GGGC,k4_GGGG,k4_GGGT,k4_GGTA,k4_GGTC,k4_GGTG,k4_GGTT,k4_GTAA,k4_GTAC,k4_GTAG,k4_GTAT,k4_GTCA,k4_GTCC,k4_GTCG,k4_GTCT,k4_GTGA,k4_GTGC,k4_GTGG,k4_GTGT,k4_GTTA,k4_GTTC,k4_GTTG,k4_GTTT,k4_TAAA,k4_TAAC,k4_TAAG,k4_TAAT,k4_TACA,k4_TACC,k4_TACG,k4_TACT,k4_TAGA,k4_TAGC,k4_TAGG,k4_TAGT,k4_TATA,k4_TATC,k4_TATG,k4_TATT,k4_TCAA,k4_TCAC,k4_TCAG,k4_TCAT,k4_TCCA,k4_TCCC,k4_TCCG,k4_TCCT,k4_TCGA,k4_TCGC,k4_TCGG,k4_TCGT,k4_TCTA,k4_TCTC,k4_TCTG,k4_TCTT,k4_TGAA,k4_TGAC,k4_TGAG,k4_TGAT,k4_TGCA,k4_TGCC,k4_TGCG,k4_TGCT,k4_TGGA,k4_TGGC,k4_TGGG,k4_TGGT,k4_TGTA,k4_TGTC,k4_TGTG,k4_TGTT,k4_TTAA,k4_TTAC,k4_TTAG,k4_TTAT,k4_TTCA,k4_TTCC,k4_TTCG,k4_TTCT,k4_TTGA,k4_TTGC,k4_TTGG,k4_TTGT,k4_TTTA,k4_TTTC,k4_TTTG,k4_TTTT
KX074203.1,3004,57.46,0,1,0,0.007,0.013,0.01,0.0087,0.013,0.017,0.0213,0.0123,0.0127,0.0237,0.016,0.0097,0.005,0.0157,0.0113,0.008,0.0137,0.02,0.0253,0.015,0.0243,0.0153,0.015,0.016,0.0266,0.0296,0.02,0.0153,0.0057,0.021,0.0147,0.0233,0.015,0.02,0.0193,0.0113,0.0187,0.0253,0.0286,0.0217,0.011,0.0227,0.0083,0.0157,0.0097,0.0173,0.0133,0.016,0.003,0.0107,0.0077,0.0047,0.018,0.013,0.0266,0.0147,0.0153,0.0183,0.0133,0.0157,0.0057,0.0183,0.0233,0.013,0.0017,0.002,0.001,0.0023,0.0027,0.002,0.0057,0.0027,0.0017,0.0027,0.0037,0.0017,0.001,0.002,0.004,0.0017,0.0033,0.0033,0.004,0.0023,0.0053,0.0043,0.0037,0.0037,0.006,0.0063,0.0047,0.0043,0.0013,0.004,0.004,0.003,0.0027,0.0033,0.0037,0.003,0.0043,0.0053,0.0067,0.0073,0.0033,0.0073,0.001,0.0043,0.0017,0.0027,0.002,0.0033,0.0003,0.0017,0.002,0.001,0.004,0.002,0.0057,0.004,0.003,0.0037,0.0023,0.0023,0.001,0.002,0.003,0.002,0.0017,0.0067,0.0013,0.004,0.0043,0.0093,0.005,0.0013,0.0063,0.011,0.005,0.003,0.002,0.0077,0.003,0.0023,0.006,0.0053,0.007,0.006,0.0043,0.0027,0.004,0.0043,0.004,0.0027,0.0047,0.0037,0.0003,0.007,0.0023,0.0063,0.0067,0.0087,0.0077,0.0037,0.0043,0.0087,0.0097,0.007,0.005,0.0083,0.003,0.0037,0.001,0.0057,0.0043,0.0043,0.001,0.0033,0.0013,0.0,0.0043,0.0043,0.0087,0.0037,0.002,0.007,0.0027,0.003,0.0023,0.0083,0.0083,0.0043,0.0027,0.0037,0.0067,0.002,0.0037,0.003,0.0073,0.006,0.003,0.007,0.006,0.0033,0.0013,0.004,0.003,0.003,0.0023,0.0057,0.0077,0.003,0.0107,0.006,0.005,0.0037,0.0093,0.0107,0.005,0.0037,0.003,0.0057,0.005,0.008,0.0023,0.0033,0.003,0.0023,0.0063,0.006,0.0073,0.003,0.002,0.0023,0.001,0.003,0.0037,0.0047,0.004,0.0033,0.0013,0.004,0.0027,0.0017,0.005,0.004,0.006,0.0023,0.0047,0.0023,0.0027,0.0037,0.002,0.0033,0.007,0.0037,0.001,0.0007,0.001,0.0003,0.0023,0.0027,0.0033,0.0023,0.0017,0.003,0.0013,0.0017,0.0007,0.0017,0.0013,0.001,0.002,0.0057,0.0067,0.0037,0.004,0.0023,0.0023,0.0043,0.0073,0.01,0.0057,0.0037,0.001,0.0043,0.0033,0.006,0.0033,0.0047,0.005,0.0023,0.0037,0.0053,0.005,0.0043,0.0007,0.0047,0.0033,0.0047,0.0033,0.0043,0.003,0.005,0.0003,0.0017,0.0017,0.002,0.0047,0.0027,0.0063,0.0047,0.0057,0.0053,0.0057,0.0067,0.0003,0.0047,0.005,0.003
KX074202.1,3862,58.91,0,3,0,0.0065,0.015,0.0142,0.0067,0.0122,0.0215,0.0212,0.0096,0.0197,0.0267,0.0153,0.0098,0.0065,0.0199,0.0132,0.0057,0.0137,0.0197,0.0249,0.0168,0.0282,0.0202,0.022,0.0161,0.0272,0.0282,0.0231,0.0194,0.0026,0.0145,0.0127,0.0168,0.0168,0.021,0.0231,0.0184,0.0199,0.0275,0.0303,0.0132,0.0176,0.0184,0.0117,0.0137,0.0114,0.0158,0.0111,0.0132,0.0057,0.0088,0.0093,0.0034,0.0148,0.0174,0.0244,0.0075,0.0148,0.0176,0.0114,0.0085,0.0067,0.0137,0.0153,0.0075,0.0,0.0023,0.0021,0.0018,0.0021,0.0039,0.0047,0.0044,0.0049,0.0039,0.0023,0.0031,0.0013,0.0031,0.0018,0.0005,0.0039,0.0023,0.0023,0.0036,0.0073,0.0057,0.0062,0.0023,0.0054,0.0078,0.0052,0.0029,0.0013,0.0031,0.0029,0.0023,0.0044,0.0044,0.0062,0.0047,0.0065,0.0065,0.0093,0.0044,0.0034,0.0057,0.0031,0.0031,0.0021,0.0029,0.0026,0.0023,0.0018,0.0018,0.0018,0.001,0.0052,0.0044,0.0093,0.001,0.0044,0.0041,0.0026,0.0021,0.001,0.0018,0.001,0.0018,0.0021,0.006,0.0034,0.0023,0.0039,0.008,0.0065,0.0013,0.0065,0.0109,0.0044,0.0031,0.0021,0.0062,0.0054,0.0031,0.0062,0.0073,0.0086,0.0062,0.0065,0.0047,0.0057,0.0034,0.0067,0.0049,0.0044,0.006,0.0005,0.0047,0.0036,0.0073,0.0065,0.0073,0.0083,0.0052,0.0049,0.0106,0.008,0.0047,0.0067,0.006,0.0049,0.0054,0.0044,0.008,0.0031,0.0039,0.0,0.0013,0.001,0.0003,0.0021,0.006,0.0041,0.0023,0.0023,0.0065,0.0013,0.0026,0.0026,0.0052,0.0073,0.0018,0.0031,0.0047,0.0067,0.0023,0.0039,0.007,0.008,0.0021,0.0065,0.0078,0.0073,0.0016,0.0026,0.0101,0.0041,0.0016,0.0018,0.0073,0.0073,0.0036,0.0088,0.0054,0.0073,0.006,0.0091,0.0091,0.0065,0.0057,0.0005,0.0036,0.0054,0.0036,0.0034,0.0044,0.0047,0.0052,0.0047,0.0057,0.0067,0.0013,0.0031,0.0029,0.0021,0.0036,0.0034,0.0039,0.0034,0.0031,0.0013,0.0034,0.0049,0.0018,0.0047,0.0041,0.0052,0.0018,0.0026,0.0034,0.0029,0.0023,0.0016,0.0044,0.0049,0.0023,0.0013,0.0021,0.0021,0.0003,0.0023,0.0026,0.0021,0.0018,0.0018,0.0041,0.0013,0.0021,0.0005,0.0005,0.0018,0.0005,0.0018,0.0029,0.0067,0.0034,0.0057,0.0044,0.0029,0.0044,0.006,0.0065,0.007,0.0049,0.0003,0.0031,0.0008,0.0034,0.0026,0.0049,0.0039,0.0034,0.0039,0.0047,0.0062,0.0029,0.0044,0.0039,0.0016,0.0016,0.0016,0.001,0.0021,0.0039,0.0026,0.0023,0.0016,0.0003,0.0029,0.0029,0.0057,0.0023,0.0054,0.0036,0.0047,0.0016,0.0016,0.0023,0.0021,0.0016
KX074201.1,6648,59.34,0,2,0,0.0065,0.0141,0.0164,0.0036,0.0116,0.0194,0.0184,0.0114,0.0122,0.015,0.0138,0.0074,0.002,0.0161,0.0141,0.0048,0.0158,0.0143,0.0105,0.0129,0.0135,0.0137,0.0286,0.0176,0.0248,0.033,0.0159,0.0289,0.009,0.0286,0.0289,0.012,0.0138,0.0188,0.0191,0.0149,0.0153,0.0196,0.0256,0.0283,0.0107,0.0223,0.0119,0.0181,0.0105,0.0226,0.019,0.0147,0.0045,0.0135,0.0023,0.0056,0.0131,0.0208,0.0301,0.0212,0.019,0.0185,0.0214,0.0125,0.0044,0.0179,0.0093,0.0059,0.0009,0.0029,0.002,0.0008,0.0032,0.0042,0.0042,0.0026,0.0053,0.0045,0.0047,0.002,0.0006,0.0012,0.0015,0.0003,0.0044,0.0035,0.0015,0.0023,0.0048,0.003,0.0077,0.0039,0.0062,0.0053,0.003,0.0039,0.0018,0.0048,0.0036,0.0012,0.003,0.003,0.0033,0.0029,0.0038,0.0036,0.0029,0.0048,0.0029,0.0054,0.0026,0.0029,0.0012,0.0017,0.0026,0.002,0.0006,0.0011,0.0002,0.0002,0.003,0.0044,0.0057,0.003,0.0045,0.003,0.0047,0.002,0.0006,0.0017,0.0021,0.0005,0.0029,0.0066,0.0054,0.0009,0.0024,0.0051,0.0041,0.0027,0.0023,0.0047,0.0027,0.0009,0.0003,0.0054,0.0054,0.0018,0.0038,0.0042,0.0023,0.0033,0.0017,0.0024,0.0051,0.0045,0.0059,0.0098,0.0042,0.0087,0.0021,0.0065,0.0062,0.0029,0.0045,0.0071,0.0075,0.0057,0.0045,0.0063,0.0111,0.011,0.0018,0.0062,0.0024,0.0056,0.0042,0.0096,0.0084,0.0066,0.0015,0.0053,0.0003,0.002,0.0051,0.0065,0.0102,0.0068,0.0072,0.0075,0.0081,0.006,0.0014,0.0065,0.0023,0.002,0.0021,0.0032,0.0072,0.0014,0.0038,0.006,0.0054,0.0036,0.0041,0.0051,0.0063,0.0036,0.0009,0.0066,0.0051,0.0023,0.0041,0.0041,0.0042,0.003,0.0045,0.0029,0.0078,0.0044,0.0051,0.0089,0.0053,0.0063,0.003,0.0093,0.0116,0.0044,0.003,0.0033,0.0027,0.0017,0.0044,0.0054,0.006,0.0065,0.002,0.0039,0.0024,0.0036,0.0033,0.006,0.0054,0.0033,0.0018,0.0045,0.0018,0.0024,0.0026,0.0053,0.0084,0.0063,0.0053,0.0051,0.0051,0.0035,0.0011,0.0074,0.0038,0.0026,0.0006,0.0015,0.0018,0.0006,0.0023,0.0041,0.0047,0.0026,0.0006,0.0006,0.0002,0.0009,0.0002,0.0029,0.0021,0.0005,0.0036,0.0026,0.0026,0.0044,0.0026,0.0054,0.008,0.0048,0.0077,0.009,0.0035,0.0099,0.0021,0.008,0.0075,0.0036,0.0033,0.0054,0.0056,0.0047,0.0027,0.0042,0.0056,0.006,0.0041,0.0068,0.0045,0.006,0.0018,0.0053,0.0026,0.0029,0.0006,0.0027,0.0,0.0011,0.0024,0.0047,0.0057,0.0051,0.002,0.0029,0.0035,0.0011,0.0014,0.0024,0.0012,0.0009
