GeneID,Temporal_Class
gene-T4p273,early
gene-T4p269,early
gene-T4p064,early
gene-T4t003,middle
gene-T4p085,middle
gene-T4p150,middle
gene-T4p257,early
gene-T4p274,early
gene-T4p249,middle
gene-T4p254,middle
gene-T4p163,early
gene-T4p098,early
gene-T4p077,middle
gene-T4t001,middle
gene-T4p186,middle
gene-T4p253,late
gene-T4p026,early
gene-T4p217,early
gene-T4p084,middle
gene-T4p169,middle
gene-T4p142,middle
gene-T4p044,early
gene-T4p009,early
gene-T4p073,middle
gene-T4p183,middle
gene-T4p135,late
gene-T4p199,middle
gene-T4p035,early
gene-T4p107,early
gene-T4p013,early
gene-T4p225,early
gene-T4p194,middle
gene-T4p192,middle
gene-T4p005,early
gene-T4p172,middle
gene-T4p198,middle
gene-T4p262,early
gene-T4p033,early
gene-T4p092,early
gene-T4t002,middle
gene-T4p121,early
gene-T4p195,middle
gene-T4p185,late
gene-T4p113,early
gene-T4p226,early
gene-T4p055,middle
gene-T4p134,middle
gene-T4p176,middle
gene-T4p241,early
gene-T4p207,early
gene-T4p167,middle
gene-T4p006,early
gene-T4p042,late
gene-T4p228,middle
gene-T4p166,early
gene-T4p137,middle
gene-T4p028,early
gene-T4p197,early
gene-T4p237,early
gene-T4p259,early
gene-T4p022,early
gene-T4p050,middle
gene-T4p181,middle
gene-T4p054,middle
gene-T4p234,middle
gene-T4p145,middle
gene-T4p052,middle
gene-T4p224,early
gene-T4p261,early
gene-T4p278,middle
gene-T4p200,middle
gene-T4p206,early
gene-T4p144,middle
gene-T4p255,early
gene-T4p078,middle
gene-T4p031,middle
gene-T4p216,early
gene-T4p160,middle
gene-T4p108,early
gene-T4p153,middle
gene-T4p029,middle
gene-T4p173,middle
gene-T4p066,early
gene-T4p119,early
gene-T4p154,middle
gene-T4p015,early
gene-T4p179,early
gene-T4p003,middle
gene-T4p138,middle
gene-T4p069,early
gene-T4p053,middle
gene-T4t006,middle
gene-T4p230,early
gene-T4p201,middle
gene-T4p208,early
gene-T4p213,middle
gene-T4p014,middle
gene-T4p030,middle
gene-T4p070,early
gene-T4p252,early
gene-T4p104,middle
gene-T4p256,early
gene-T4p263,middle
gene-T4p074,middle
gene-T4p126,early
gene-T4p096,early
gene-T4p093,early
gene-T4p116,early
gene-T4p021,early
gene-T4p271,early
gene-T4p091,early
gene-T4p139,middle
gene-T4p032,middle
gene-T4p247,middle
gene-T4p191,middle
gene-T4p222,early
gene-T4p082,early
gene-T4p129,early
gene-T4p248,early
gene-T4p097,early
gene-T4p012,early
gene-T4p016,early
gene-T4t008,middle
gene-T4p227,early
gene-T4p047,middle
gene-T4p174,middle
gene-T4p122,early
gene-T4p148,middle
gene-T4p056,late
gene-T4p112,early
gene-T4p178,middle
gene-T4s002,middle
gene-T4p045,early
gene-T4p238,early
gene-T4p136,middle
gene-T4p087,early
gene-T4p117,early
gene-T4p209,early
gene-T4p258,early
gene-T4p264,early
gene-T4p260,early
gene-T4p223,early
gene-T4p048,middle
gene-T4p133,middle
gene-T4p210,early
gene-T4p060,middle
gene-T4p175,early
gene-T4s001,early
gene-T4p040,late
gene-T4p123,middle
gene-T4t005,middle
gene-T4p058,middle
gene-T4p164,early
gene-T4p265,early
gene-T4p102,early
gene-T4p270,early
