GeneID,Temporal_Class
gene-PHIKZ067,early
gene-PHIKZ060,early
gene-PHIKZ_p63,early
gene-PHIKZ001,late
gene-PHIKZ219,late
gene-PHIKZ077,early
gene-PHIKZ106,early
gene-PHIKZ277,early
gene-PHIKZ123,early
gene-PHIKZ070,early
gene-PHIKZ218,late
gene-PHIKZ_p36,early
gene-PHIKZ_p33,early
gene-PHIKZ208,early
gene-PHIKZ_p08,late
gene-PHIKZ289,late
gene-PHIKZ157,late
gene-PHIKZ_p82,late
gene-PHIKZ293,early
gene-PHIKZ026,late
gene-PHIKZ291,late
gene-PHIKZ082,early
gene-PHIKZ204,late
gene-PHIKZ201,late
gene-PHIKZ_p67,late
gene-PHIKZ040,early
gene-PHIKZ063,early
gene-PHIKZ_p64,late
gene-PHIKZ_p66,late
gene-PHIKZ295,late
gene-PHIKZ172,early
gene-PHIKZ_p12,late
gene-PHIKZ_t03,late
gene-PHIKZ096,late
gene-PHIKZ169,late
gene-PHIKZ_p38,early
gene-PHIKZ186,early
gene-PHIKZ011,early
gene-PHIKZ_p46,late
gene-PHIKZ066,early
gene-PHIKZ276,late
gene-PHIKZ143,late
gene-PHIKZ_p57,early
gene-PHIKZ_p11,late
gene-PHIKZ134,late
gene-PHIKZ_p65,early
gene-PHIKZ049,early
gene-PHIKZ037,early
gene-PHIKZ129,late
gene-PHIKZ097,late
gene-PHIKZ048,late
gene-PHIKZ197,late
gene-PHIKZ127,late
gene-PHIKZ095,late
gene-PHIKZ_p70,early
gene-PHIKZ029,middle
gene-PHIKZ168,early
gene-PHIKZ_p30,late
gene-PHIKZ158,late
gene-PHIKZ_p05,early
gene-PHIKZ_p73,early
gene-PHIKZ109,early
gene-PHIKZ268,late
gene-PHIKZ_p85,early
gene-PHIKZ176,late
gene-PHIKZ_p24,late
gene-PHIKZ258,early
gene-PHIKZ145,late
gene-PHIKZ057,late
gene-PHIKZ074,early
gene-PHIKZ188,early
gene-PHIKZ212,early
gene-PHIKZ_p83,early
gene-PHIKZ071,early
gene-PHIKZ122,early
gene-PHIKZ280,early
gene-PHIKZ_t06,undefined
gene-PHIKZ059,early
gene-PHIKZ084,late
gene-PHIKZ162,late
gene-PHIKZ191,early
gene-PHIKZ207,early
gene-PHIKZ239,late
gene-PHIKZ_p25,late
gene-PHIKZ126,late
gene-PHIKZ246,early
gene-PHIKZ_t02,early
gene-PHIKZ178,early
gene-PHIKZ_p59,early
gene-PHIKZ010,early
gene-PHIKZ166,early
gene-PHIKZ226,early
gene-PHIKZ089,late
gene-PHIKZ042,late
gene-PHIKZ058,early
gene-PHIKZ264,early
gene-PHIKZ053,early
gene-PHIKZ281,early
gene-PHIKZ151,late
gene-PHIKZ046,early
gene-PHIKZ299,early
gene-PHIKZ_p78,late
gene-PHIKZ005,late
gene-PHIKZ008,early
gene-PHIKZ136,late
gene-PHIKZ062,late
gene-PHIKZ224,early
gene-PHIKZ_p58,early
gene-PHIKZ155,early
gene-PHIKZ_p87,early
gene-PHIKZ094,late
gene-PHIKZ002,late
gene-PHIKZ124,early
gene-PHIKZ206,early
gene-PHIKZ177,late
gene-PHIKZ149,early
gene-PHIKZ290,early
gene-PHIKZ_t01,early
gene-PHIKZ_p23,late
gene-PHIKZ278,early
gene-PHIKZ_p13,late
gene-PHIKZ148,late
gene-PHIKZ235,early
