GeneID,Temporal_Class
gene-DMS3-27,undefined
gene-DMS3-47,undefined
gene-DMS3-36,middle
gene-DMS3-46,undefined
gene-DMS3-38,undefined
gene-DMS3-29,undefined
gene-DMS3-13,undefined
gene-DMS3-35,undefined
gene-DMS3-48,undefined
gene-DMS3-18,undefined
gene-DMS3-43,undefined
gene-DMS3-21,undefined
gene-DMS3-11,late
gene-DMS3-5,late
gene-DMS3-26,undefined
gene-DMS3-19,undefined
gene-DMS3-7,late
gene-DMS3-30,early
gene-DMS3-33,early
gene-DMS3-20,undefined
gene-DMS3-17,undefined
gene-DMS3-25,undefined
gene-DMS3-1,undefined
gene-DMS3-40,undefined
gene-DMS3-12,undefined
gene-DMS3-22,undefined
gene-DMS3-16,undefined
gene-DMS3-24,undefined
gene-DMS3-10,undefined
gene-DMS3-6,early
gene-DMS3-8,undefined
gene-DMS3-39,early
gene-DMS3-31,early
gene-DMS3-51,undefined
gene-DMS3-37,early
gene-DMS3-2,early
gene-DMS3-52,undefined
gene-DMS3-41,late
gene-DMS3-45,undefined
gene-DMS3-4,late
gene-DMS3-50,undefined
gene-DMS3-9,undefined
gene-DMS3-3,late
gene-DMS3-34,early
gene-DMS3-32,early
gene-DMS3-15,undefined
gene-DMS3-28,undefined
gene-DMS3-23,undefined
gene-DMS3-44,undefined
gene-DMS3-14,undefined
gene-DMS3-49,undefined
gene-DMS3-42,undefined
